"season_year","season_type","game_date","game_id","team_id","team_abbreviation","matchup","event","win_tip_prob_xtip","spread","ftts","ftts_prob_glmnet","ftts_prob_earth","model","ftts_prob"
"2018-19","Regular Season",2018-10-21,"0021800037","1610612758","SAC","SAC @ OKC","fgm",0.245978254639584,10.5,FALSE,0.454876357865164,0.264952594911651,"fgm",0.359914476388408
"2018-19","Regular Season",2018-10-21,"0021800039","1610612745","HOU","HOU @ LAC","fgm",0.186909743375478,2.5,FALSE,0.452903476759601,0.347040004305721,"fgm",0.399971740532661
"2018-19","Regular Season",2018-10-21,"0021800036","1610612739","CLE","CLE vs. ATL","fgm",0.392574547911972,-8,TRUE,0.480570099363168,0.499086632085191,"fgm",0.48982836572418
"2018-19","Regular Season",2018-10-21,"0021800037","1610612760","OKC","OKC vs. SAC","fgm",0.754021745360416,-10.5,TRUE,0.54159354122362,0.597944646207779,"fgm",0.5697690937157
"2018-19","Regular Season",2018-10-21,"0021800039","1610612746","LAC","LAC vs. HOU","fgm",0.813090256624522,-2.5,TRUE,0.543865515599572,0.497280949033819,"fgm",0.520573232316696
"2018-19","Regular Season",2018-10-21,"0021800038","1610612744","GSW","GSW @ DEN","fgm",0.306117883607578,-4.5,TRUE,0.474913924141941,0.56187143384494,"fgm",0.51839267899344
"2018-19","Regular Season",2018-10-23,"0021800050","1610612740","NOP","NOP vs. LAC","points",0.207048619604324,-5.5,TRUE,0.450868680815098,0.446448579102062,"points",0.44865862995858
"2018-19","Regular Season",2018-10-23,"0021800051","1610612743","DEN","DEN vs. SAC","points",0.625735287022893,-12,TRUE,0.544696345155745,0.582446191333181,"points",0.563571268244463
"2018-19","Regular Season",2018-10-23,"0021800049","1610612755","PHI","PHI @ DET","points",0.248976197974991,-1,FALSE,0.454217049980975,0.436386403470663,"points",0.445301726725819
"2018-19","Regular Season",2018-10-23,"0021800049","1610612765","DET","DET vs. PHI","points",0.751023802025009,1,TRUE,0.543594199133487,0.599839977008349,"points",0.571717088070918
"2018-19","Regular Season",2018-10-23,"0021800050","1610612746","LAC","LAC @ NOP","points",0.792951380395676,5.5,FALSE,0.546930313991483,0.430478086764273,"points",0.488704200377878
"2018-19","Regular Season",2018-10-23,"0021800051","1610612758","SAC","SAC @ DEN","points",0.374264712977107,12,FALSE,0.452031053089722,0.310206714430409,"points",0.381118883760065
"2018-19","Regular Season",2018-10-23,"0021800050","1610612740","NOP","NOP vs. LAC","fgm",0.207048619604324,-5.5,TRUE,0.458434726466769,0.433349442177902,"fgm",0.445892084322335
