"game_date","game","player_name","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model"
2023-10-27,"TOR @ CHI","Jakob Poeltl",2023-10-27 23:34:28,"mgm",0.7143,-250,-0.0659,-0.1154,-5.7688,0.6484,-184
2023-10-27,"LAC @ UTA","Ivica Zubac",2023-10-28 00:04:22,"mgm",0.4,150,0.1107,0.0923,4.613,0.5107,-104
2023-10-27,"ORL @ POR","Wendell Carter Jr.",2023-10-28 00:04:22,"mgm",0.3226,210,0.0095,0.007,0.351,0.3321,201
2023-10-27,"GSW @ SAC","Kevon Looney",2023-10-28 00:04:22,"mgm",0.8333,-500,-0.1508,-0.4525,-22.6233,0.6825,-215
2023-10-27,"LAC @ UTA","Walker Kessler",2023-10-28 00:04:22,"mgm",0.6667,-200,-0.1774,-0.2661,-13.3033,0.4893,104
2023-10-27,"ORL @ POR","Deandre Ayton",2023-10-28 00:04:22,"mgm",0.75,-300,-0.0821,-0.1642,-8.209,0.6679,-201
2023-10-27,"GSW @ SAC","Domantas Sabonis",2023-10-28 00:04:22,"mgm",0.25,300,0.0675,0.045,2.2496,0.3175,215
2023-10-27,"LAC @ UTA","Ivica Zubac",2023-10-28 00:34:31,"mgm",0.4,150,0.1107,0.0923,4.613,0.5107,-104
2023-10-27,"ORL @ POR","Wendell Carter Jr.",2023-10-28 00:34:31,"mgm",0.3226,210,0.0095,0.007,0.351,0.3321,201
2023-10-27,"GSW @ SAC","Kevon Looney",2023-10-28 00:34:31,"mgm",0.8333,-500,-0.1508,-0.4525,-22.6233,0.6825,-215
2023-10-27,"LAC @ UTA","Walker Kessler",2023-10-28 00:34:31,"mgm",0.6667,-200,-0.1774,-0.2661,-13.3033,0.4893,104
2023-10-27,"ORL @ POR","Deandre Ayton",2023-10-28 00:34:31,"mgm",0.75,-300,-0.0821,-0.1642,-8.209,0.6679,-201
2023-10-27,"GSW @ SAC","Domantas Sabonis",2023-10-28 00:34:31,"mgm",0.25,300,0.0675,0.045,2.2496,0.3175,215
2023-10-27,"LAC @ UTA","Ivica Zubac",2023-10-28 01:04:35,"mgm",0.4,150,0.1107,0.0923,4.613,0.5107,-104
2023-10-27,"ORL @ POR","Wendell Carter Jr.",2023-10-28 01:04:35,"mgm",0.3226,210,0.0095,0.007,0.351,0.3321,201
2023-10-27,"GSW @ SAC","Kevon Looney",2023-10-28 01:04:35,"mgm",0.8333,-500,-0.1508,-0.4525,-22.6233,0.6825,-215
2023-10-27,"LAC @ UTA","Walker Kessler",2023-10-28 01:04:35,"mgm",0.6667,-200,-0.1774,-0.2661,-13.3033,0.4893,104
2023-10-27,"ORL @ POR","Deandre Ayton",2023-10-28 01:04:35,"mgm",0.75,-300,-0.0821,-0.1642,-8.209,0.6679,-201
2023-10-27,"GSW @ SAC","Domantas Sabonis",2023-10-28 01:04:35,"mgm",0.25,300,0.0675,0.045,2.2496,0.3175,215
2023-10-27,"ORL @ POR","Wendell Carter Jr.",2023-10-28 01:34:19,"mgm",0.3226,210,0.0095,0.007,0.351,0.3321,201
