"date","book","game","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net"
2023-10-24,"MGM","PHX @ GSW","FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0776,1189,0.0588,1600,0.0187,0.0099,0.9949,2023-10-25 00:51:27,2,"Josh Okogie","Loss",0.00460000000000005,-0.00460000000000005
2023-10-24,"FanDuel","PHX @ GSW","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1401,614,0.1176,750,0.0225,0.0127,1.2744,2023-10-24 23:21:00,1,"Jusuf Nurkic","Win",1.2744,9.558
2023-10-24,"FanDuel","PHX @ GSW","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1404,612,0.1111,800,0.0293,0.0165,1.6455,2023-10-25 00:51:27,2,"Jusuf Nurkic","Win",0.3711,2.9688
2023-10-24,"FanDuel","PHX @ GSW","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0863,1058,0.0833,1100,0.003,0.0016,0.1631,2023-10-25 00:51:27,1,"Kevon Looney","Loss",0.1631,-0.1631
2023-10-24,"MGM","PHX @ GSW","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0203,4825,0.0196,5000,7e-04,4e-04,0.0355,2023-10-24 23:21:00,1,"Chris Paul_three_point","Loss",0.0355,-0.0355
2023-10-24,"MGM","PHX @ GSW","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0509,1866,0.0476,2000,0.0033,0.0017,0.1709,2023-10-24 23:21:00,1,"Chris Paul_two_point","Loss",0.1709,-0.1709
2023-10-24,"MGM","PHX @ GSW","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.037,2601,0.0244,4000,0.0126,0.0065,0.6478,2023-10-24 23:21:00,1,"Grayson Allen_two_point","Loss",0.6478,-0.6478
2023-10-24,"MGM","PHX @ GSW","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0371,2598,0.0244,4000,0.0127,0.0065,0.6499,2023-10-25 00:51:27,2,"Grayson Allen_two_point","Loss",0.00209999999999999,-0.00209999999999999
2023-10-24,"MGM","PHX @ GSW","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0231,4235,0.0196,5000,0.0035,0.0018,0.1764,2023-10-24 23:21:00,1,"Josh Okogie_three_point","Loss",0.1764,-0.1764
2023-10-24,"MGM","PHX @ GSW","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0231,4231,0.0196,5000,0.0035,0.0018,0.1777,2023-10-25 00:51:27,2,"Josh Okogie_three_point","Loss",0.0013,-0.0013
2023-10-24,"MGM","PHX @ GSW","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0544,1738,0.0435,2200,0.0109,0.0057,0.5708,2023-10-24 23:21:00,1,"Josh Okogie_two_point","Loss",0.5708,-0.5708
2023-10-24,"MGM","PHX @ GSW","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0545,1736,0.0435,2200,0.011,0.0057,0.574,2023-10-25 00:51:27,2,"Josh Okogie_two_point","Loss",0.00319999999999998,-0.00319999999999998
2023-10-24,"MGM","PHX @ GSW","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0287,3390,0.0149,6600,0.0137,0.007,0.6967,2023-10-24 23:21:00,1,"Jusuf Nurkic_three_point","Loss",0.6967,-0.6967
2023-10-24,"MGM","PHX @ GSW","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0287,3386,0.0149,6600,0.0138,0.007,0.6983,2023-10-25 00:51:27,2,"Jusuf Nurkic_three_point","Loss",0.00160000000000005,-0.00160000000000005
2023-10-24,"FanDuel","PHX @ GSW","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1529,554,0.1176,750,0.0353,0.02,1.9989,2023-10-24 23:21:00,1,"Chris Paul","Loss",1.9989,-1.9989
