"game_id","period","period_clock","player1_id","player1_team","player2_id","player2_team","opening_tip","center_court","tip_win_player_id","tip_win_team_id"
11300001,1,720S,42540,12321,201586,1610612760,TRUE,TRUE,201586,1610612760
11300001,2,477S,42540,12321,201934,1610612760,FALSE,FALSE,201934,1610612760
11300002,1,720S,201579,1610612754,1737,1610612741,TRUE,TRUE,201579,1610612754
11300003,1,720S,2730,1610612745,203076,1610612740,TRUE,TRUE,203076,1610612740
11300003,2,454S,201976,1610612745,202329,1610612740,FALSE,FALSE,202329,1610612740
11300003,4,87S,201956,1610612745,202498,1610612740,FALSE,FALSE,201956,1610612745
11300004,1,720S,2549,1610612747,101106,1610612744,TRUE,TRUE,101106,1610612744
11300004,1,660S,2581,1610612747,101106,1610612744,FALSE,FALSE,101106,1610612744
11300004,3,24S,202333,1610612747,203110,1610612744,FALSE,FALSE,203110,1610612744
11300005,1,720S,42558,12324,201150,1610612755,TRUE,TRUE,201150,1610612755
11300006,1,720S,2200,1610612747,201580,1610612743,TRUE,TRUE,2200,1610612747
11300007,1,720S,1737,1610612741,201585,1610612763,TRUE,TRUE,201585,1610612763
11300007,4,205S,2229,1610612741,203479,1610612763,FALSE,FALSE,203479,1610612763
11300008,1,720S,201593,1610612750,42578,12308,TRUE,TRUE,201593,1610612750
11300008,2,713S,203144,1610612750,42582,12308,FALSE,FALSE,42582,12308
11300008,5,300S,101142,1610612750,42578,12308,FALSE,TRUE,101142,1610612750
11300009,1,720S,101162,1610612756,42569,93,TRUE,TRUE,42569,93
11300010,1,720S,201577,1610612757,201599,1610612746,TRUE,TRUE,201577,1610612757
11300010,1,496S,203081,1610612757,101108,1610612746,FALSE,FALSE,203081,1610612757
11300011,1,720S,2743,1610612738,202685,1610612761,TRUE,TRUE,202685,1610612761
11300012,1,720S,2547,1610612748,201143,1610612737,TRUE,TRUE,2547,1610612748
11300013,1,720S,2223,1610612742,203076,1610612740,TRUE,TRUE,2223,1610612742
11300013,1,642S,203539,1610612742,202329,1610612740,FALSE,FALSE,202329,1610612740
11300014,1,720S,101106,1610612744,201574,1610612758,TRUE,TRUE,201574,1610612758
11300014,1,698S,101135,1610612744,202326,1610612758,FALSE,FALSE,101135,1610612744
11300015,1,720S,202686,1610612764,201572,1610612751,TRUE,TRUE,201572,1610612751
11300015,5,300S,202686,1610612764,203486,1610612751,FALSE,TRUE,203486,1610612751
11300016,1,720S,202684,1610612739,202336,1610612749,TRUE,TRUE,202336,1610612749
11300017,1,720S,202683,1610612762,101106,1610612744,TRUE,TRUE,101106,1610612744
11300017,1,602S,2210,1610612762,101106,1610612744,FALSE,FALSE,101106,1610612744
11300018,1,720S,2200,1610612747,201580,1610612743,TRUE,TRUE,201580,1610612743
11300018,3,668S,201156,1610612747,201951,1610612743,FALSE,FALSE,201951,1610612743
11300018,4,709S,202068,1610612747,202702,1610612743,FALSE,FALSE,202068,1610612747
11300019,1,720S,203469,1610612766,1882,1610612737,TRUE,TRUE,203469,1610612766
11300020,1,720S,203083,1610612765,42568,93,TRUE,TRUE,203083,1610612765
11300020,2,649S,201155,1610612765,42564,93,FALSE,FALSE,201155,1610612765
11300020,4,671S,203484,1610612765,42566,93,FALSE,FALSE,42566,93
11300021,1,720S,201150,1610612755,203500,1610612760,TRUE,TRUE,203500,1610612760
11300022,1,720S,202685,1610612761,201593,1610612750,TRUE,TRUE,202685,1610612761
11300023,1,720S,202696,1610612753,203076,1610612740,TRUE,TRUE,202696,1610612753
11300023,2,424S,202696,1610612753,202498,1610612740,FALSE,FALSE,202696,1610612753
11300023,3,140S,202699,1610612753,202620,1610612740,FALSE,FALSE,202699,1610612753
11300023,4,2S,202699,1610612753,202620,1610612740,FALSE,FALSE,202620,1610612740
11300024,1,720S,202334,1610612763,2223,1610612742,TRUE,TRUE,2223,1610612742
11300025,1,720S,201577,1610612757,101162,1610612756,TRUE,TRUE,101162,1610612756
11300026,1,720S,203096,1610612738,2199,1610612752,TRUE,TRUE,2199,1610612752
11300027,1,720S,1495,1610612759,42578,12308,TRUE,TRUE,42578,12308
11300027,2,123S,1938,1610612759,42584,12308,FALSE,FALSE,1938,1610612759
11300027,5,300S,203382,1610612759,42578,12308,FALSE,TRUE,203382,1610612759
11300028,1,720S,201593,1610612750,202336,1610612749,TRUE,TRUE,202336,1610612749
11300028,3,76S,203476,1610612750,203507,1610612749,FALSE,FALSE,203476,1610612750
11300029,1,720S,2200,1610612747,202326,1610612758,TRUE,TRUE,2200,1610612747
11300029,4,405S,200761,1610612747,201574,1610612758,FALSE,FALSE,200761,1610612747
11300030,1,720S,203083,1610612765,2547,1610612748,TRUE,TRUE,2547,1610612748
11300030,1,554S,101198,1610612765,2547,1610612748,FALSE,FALSE,2547,1610612748
11300031,1,720S,201579,1610612754,2730,1610612745,TRUE,TRUE,2730,1610612745
11300031,1,16S,101122,1610612754,201935,1610612745,FALSE,FALSE,201935,1610612745
11300032,1,720S,202685,1610612761,2199,1610612752,TRUE,TRUE,2199,1610612752
11300033,1,720S,201150,1610612755,2743,1610612738,TRUE,TRUE,2743,1610612738
11300033,2,513S,203487,1610612755,203482,1610612738,FALSE,FALSE,203487,1610612755
11300033,3,326S,201152,1610612755,203096,1610612738,FALSE,FALSE,201152,1610612755
11300034,1,720S,202696,1610612753,202684,1610612739,TRUE,TRUE,202696,1610612753
11300034,2,509S,2749,1610612753,203461,1610612739,FALSE,FALSE,203461,1610612739
11300034,4,401S,202699,1610612753,203467,1610612739,FALSE,FALSE,203467,1610612739
