"player_id","jumper","team_id","team","jumps","wins","win_rate","last_jump"
"1626167","Myles Turner","1610612754","IND",12,7,0.583333333333333,2023-11-09
"1626172","Kevon Looney","1610612744","GSW",12,6,0.5,2023-11-08
"1626174","Christian Wood","1610612747","LAL",1,0,0,2023-11-08
"1627732","Ben Simmons","1610612751","BKN",5,2,0.4,2023-11-06
"1627734","Domantas Sabonis","1610612758","SAC",12,2,0.166666666666667,2023-11-10
"1627745","Damian Jones","1610612739","CLE",2,1,0.5,2023-10-16
"1627751","Jakob Poeltl","1610612761","TOR",10,6,0.6,2023-11-08
"1627826","Ivica Zubac","1610612746","LAC",12,4,0.333333333333333,2023-11-10
"1627827","Dorian Finney-Smith","1610612751","BKN",3,0,0,2023-11-10
"1628374","Lauri Markkanen","1610612762","UTA",1,0,0,2023-11-10
"1628380","Zach Collins","1610612759","SAS",1,1,1,2023-10-16
"1628381","John Collins","1610612762","UTA",1,0,0,2023-11-08
"1628385","Harry Giles III","1610612751","BKN",1,1,1,2023-10-12
"1628386","Jarrett Allen","1610612739","CLE",3,1,0.333333333333333,2023-11-08
"1628389","Bam Adebayo","1610612748","MIA",11,6,0.545454545454545,2023-11-08
"1628418","Thomas Bryant","1610612748","MIA",2,1,0.5,2023-10-30
"1628436","Luke Kornet","1610612738","BOS",1,1,1,2023-10-09
"1628449","Chris Boucher","1610612761","TOR",2,0,0,2023-10-17
"1628464","Daniel Theis","1610612754","IND",1,1,1,2023-10-10
"1628467","Maxi Kleber","1610612742","DAL",1,0,0,2023-10-25
"1628963","Marvin Bagley III","1610612765","DET",3,2,0.666666666666667,2023-11-06
"1628976","Wendell Carter Jr.","1610612753","ORL",8,6,0.75,2023-11-02
"1628981","Bruno Fernando","1610612737","ATL",1,0,0,2023-10-14
"1628991","Jaren Jackson Jr.","1610612763","MEM",12,8,0.666666666666667,2023-11-10
"1629011","Mitchell Robinson","1610612752","NYK",12,7,0.583333333333333,2023-11-08
"1629028","Deandre Ayton","1610612757","POR",10,8,0.8,2023-11-08
"1629048","Goga Bitadze","1610612753","ORL",4,1,0.25,2023-11-09
"1629234","Drew Eubanks","1610612756","PHX",1,1,1,2023-10-16
"1629637","Jaxson Hayes","1610612747","LAL",1,1,1,2023-10-11
"1629650","Moses Brown","1610612757","POR",1,1,1,2023-10-14
"1629651","Nic Claxton","1610612751","BKN",4,2,0.5,2023-10-25
"1629655","Daniel Gafford","1610612764","WAS",10,2,0.2,2023-11-10
"1630166","Deni Avdija","1610612764","WAS",1,0,0,2023-10-30
"1630168","Onyeka Okongwu","1610612737","ATL",1,1,1,2023-10-16
"1630194","Paul Reed","1610612755","PHI",3,1,0.333333333333333,2023-10-16
"1630578","Alperen Sengun","1610612745","HOU",13,6,0.461538461538462,2023-11-10
"1630596","Evan Mobley","1610612739","CLE",7,3,0.428571428571429,2023-11-01
"1631096","Chet Holmgren","1610612760","OKC",13,7,0.538461538461538,2023-11-10
"1631105","Jalen Duren","1610612765","DET",11,8,0.727272727272727,2023-11-10
"1631109","Mark Williams","1610612766","CHA",12,10,0.833333333333333,2023-11-10
"1631117","Walker Kessler","1610612762","UTA",13,8,0.615384615384615,2023-11-06
"1631119","Jaylin Williams","1610612760","OKC",1,0,0,2023-10-15
"1631169","Josh Minott","1610612750","MIN",1,1,1,2023-10-17
"1631218","Trayce Jackson-Davis","1610612744","GSW",1,0,0,2023-10-18
"1641705","Victor Wembanyama","1610612759","SAS",13,9,0.692307692307692,2023-11-10
"1641726","Dereck Lively II","1610612742","DAL",11,5,0.454545454545455,2023-11-10
"1641871","Duop Reath","1610612757","POR",1,0,0,2023-10-16
"196294540","","12315",NA,1,0,0,2023-10-10
"196294555","","15022",NA,2,1,0.5,2023-10-15
"196294572","","15020",NA,2,0,0,2023-10-16
"196294585","","50009",NA,3,0,0,2023-10-17
"196294610","","12325",NA,1,0,0,2023-10-20
"201572","Brook Lopez","1610612749","MIL",12,5,0.416666666666667,2023-11-09
"201577","Robin Lopez","1610612749","MIL",1,0,0,2023-10-17
"201580","JaVale McGee","1610612758","SAC",1,1,1,2023-10-19
"201599","DeAndre Jordan","1610612743","DEN",1,1,1,2023-10-17
"201939","Stephen Curry","1610612744","GSW",1,0,0,2023-10-20
"202685","Jonas Valanciunas","1610612740","NOP",13,8,0.615384615384615,2023-11-10
"202696","Nikola Vucevic","1610612741","CHI",13,4,0.307692307692308,2023-11-08
"203076","Anthony Davis","1610612747","LAL",13,8,0.615384615384615,2023-11-10
"203083","Andre Drummond","1610612741","CHI",1,1,1,2023-10-15
"203488","Mike Muscala","1610612764","WAS",1,0,0,2023-11-01
"203497","Rudy Gobert","1610612750","MIN",11,4,0.363636363636364,2023-11-10
"203500","Steven Adams","1610612763","MEM",2,2,1,2023-10-12
"203939","Dwight Powell","1610612742","DAL",1,0,0,2023-11-08
"203954","Joel Embiid","1610612755","PHI",9,3,0.333333333333333,2023-11-10
"203991","Clint Capela","1610612737","ATL",11,4,0.363636363636364,2023-11-09
"203994","Jusuf Nurkic","1610612756","PHX",13,7,0.538461538461538,2023-11-10
"203999","Nikola Jokic","1610612743","DEN",13,4,0.307692307692308,2023-11-08
"204001","Kristaps Porzingis","1610612738","BOS",11,9,0.818181818181818,2023-11-10
