"player_id","player_name","pts_rollsum_10","pts_rollsum_25","pts_rollsum_50","pts_rollsum_100","start_rollsum_10","start_rollsum_25","start_rollsum_50","start_rollsum_100","start_rollmean_10","start_rollmean_25","start_rollmean_50","start_rollmean_100","fgpct_10","fgpct_25","fgpct_50","fgpct_100","fg2pct_10","fg2pct_25","fg2pct_50","fg2pct_100","fg3pct_10","fg3pct_25","fg3pct_50","fg3pct_100","ftpct_10","ftpct_25","ftpct_50","ftpct_100","fg2ratio_10","fg2ratio_25","fg2ratio_50","fg2ratio_100","usg_10","usg_25","usg_50","usg_100","took_team_first_shot_rollmean_10","took_team_first_shot_rollmean_25","took_team_first_shot_rollmean_50","took_team_first_shot_rollmean_100","made_team_first_basket_rollmean_10","made_team_first_basket_rollmean_25","made_team_first_basket_rollmean_50","made_team_first_basket_rollmean_100","made_team_first_fgm_rollmean_10","made_team_first_fgm_rollmean_25","made_team_first_fgm_rollmean_50","made_team_first_fgm_rollmean_100","made_team_first_2pt_rollmean_10","made_team_first_2pt_rollmean_25","made_team_first_2pt_rollmean_50","made_team_first_2pt_rollmean_100","made_team_first_3pt_rollmean_10","made_team_first_3pt_rollmean_25","made_team_first_3pt_rollmean_50","made_team_first_3pt_rollmean_100","made_team_first_ft_rollmean_10","made_team_first_ft_rollmean_25","made_team_first_ft_rollmean_50","made_team_first_ft_rollmean_100","made_first_basket_rollmean_10","made_first_basket_rollmean_25","made_first_basket_rollmean_50","made_first_basket_rollmean_100","made_first_basket_3pt_rollmean_10","made_first_basket_3pt_rollmean_25","made_first_basket_3pt_rollmean_50","made_first_basket_3pt_rollmean_100","made_first_basket_FT_rollmean_10","made_first_basket_FT_rollmean_25","made_first_basket_FT_rollmean_50","made_first_basket_FT_rollmean_100","made_first_basket_dunk_rollmean_10","made_first_basket_dunk_rollmean_25","made_first_basket_dunk_rollmean_50","made_first_basket_dunk_rollmean_100","made_first_basket_layup_rollmean_10","made_first_basket_layup_rollmean_25","made_first_basket_layup_rollmean_50","made_first_basket_layup_rollmean_100","made_first_basket_other_rollmean_10","made_first_basket_other_rollmean_25","made_first_basket_other_rollmean_50","made_first_basket_other_rollmean_100","made_first_fgm_rollmean_10","made_first_fgm_rollmean_25","made_first_fgm_rollmean_50","made_first_fgm_rollmean_100","made_first_fgm_3pt_rollmean_10","made_first_fgm_3pt_rollmean_25","made_first_fgm_3pt_rollmean_50","made_first_fgm_3pt_rollmean_100","made_first_fgm_2pt_rollmean_10","made_first_fgm_2pt_rollmean_25","made_first_fgm_2pt_rollmean_50","made_first_fgm_2pt_rollmean_100","made_first_2pt_rollmean_10","made_first_2pt_rollmean_25","made_first_2pt_rollmean_50","made_first_2pt_rollmean_100","made_first_3pt_rollmean_10","made_first_3pt_rollmean_25","made_first_3pt_rollmean_50","made_first_3pt_rollmean_100","made_first_ft_rollmean_10","made_first_ft_rollmean_25","made_first_ft_rollmean_50","made_first_ft_rollmean_100"
"203187","Chris Johnson",20,64,173,381,0,1,2,4,0,0.04,0.04,0.04,0.333333333333333,0.352112676056338,0.36969696969697,0.388732394366197,0.625,0.486486486486487,0.493670886075949,0.519230769230769,0.153846153846154,0.205882352941176,0.255813953488372,0.28643216080402,1,0.875,0.852941176470588,0.813559322033898,0.714285714285714,0.72,0.639344262295082,0.58695652173913,0.132536065668005,0.131878566089446,0.13671035493375,0.14202138589445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203197","Diante Garrett",20,82,183,288,0,0,0,0,0,0,0,0,0.235294117647059,0.294117647058824,0.383419689119171,0.372611464968153,0.222222222222222,0.245283018867925,0.387931034482759,0.38423645320197,0.25,0.346938775510204,0.376623376623377,0.351351351351351,NA,0.833333333333333,0.75,0.681818181818182,0.5,0.433333333333333,0.608108108108108,0.666666666666667,0.143780963392901,0.160815128004637,0.152288265075776,0.158762152294073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203199","DeQuan Jones",50,113,204,233,3,4,14,17,0.3,0.16,0.28,0.26984126984127,0.369565217391304,0.46875,0.443850267379679,0.435779816513761,0.375,0.494117647058824,0.487179487179487,0.469945355191257,0.333333333333333,0.272727272727273,0.225806451612903,0.257142857142857,0.777777777777778,0.740740740740741,0.688888888888889,0.666666666666667,0.882352941176471,0.933333333333333,0.91566265060241,0.905263157894737,0.164115325756983,0.167849484425709,0.154894022484019,0.153675468568326,0.2,0.176470588235294,0.176470588235294,0.176470588235294,0.4,0.294117647058824,0.294117647058824,0.294117647058824,0.4,0.294117647058824,0.294117647058824,0.294117647058824,0.4,0.352941176470588,0.352941176470588,0.352941176470588,0.2,0.117647058823529,0.117647058823529,0.117647058823529,0.1,0.117647058823529,0.117647058823529,0.117647058823529,0.1,0.117647058823529,0.117647058823529,0.117647058823529,0,0,0,0,0,0,0,0,0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.1,0.0588235294117647,0.0588235294117647,0.0588235294117647,0,0,0,0,0.1,0.117647058823529,0.117647058823529,0.117647058823529,0,0,0,0,0.1,0.117647058823529,0.117647058823529,0.117647058823529,0.1,0.117647058823529,0.117647058823529,0.117647058823529,0.2,0.117647058823529,0.117647058823529,0.117647058823529,0,0,0,0
"203200","Justin Holiday",39,98,242,754,0,2,6,55,0,0.08,0.12,0.55,0.357142857142857,0.36734693877551,0.38961038961039,0.385838150289017,0.647058823529412,0.535714285714286,0.464788732394366,0.467661691542289,0.16,0.3,0.35625,0.35234215885947,0.833333333333333,0.625,0.625,0.796610169491525,0.733333333333333,0.416666666666667,0.366666666666667,0.352059925093633,0.153905005335924,0.135359929237376,0.140533738169709,0.155380527820321,0,0.08,0.14,0.14,0.1,0.08,0.16,0.17,0.1,0.08,0.1,0.14,0.1,0.04,0.04,0.05,0.2,0.2,0.26,0.25,0.1,0.08,0.12,0.09,0.1,0.04,0.06,0.07,0.1,0.04,0.04,0.06,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.04,0.06,0.07,0.1,0.04,0.04,0.06,0,0,0.02,0.01,0,0,0.02,0.02,0.2,0.16,0.16,0.17,0.1,0.08,0.1,0.08
"203203","Chris Wright",2,2,2,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.321010588890953,0.321010588890953,0.321010588890953,0.321010588890953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203210","JaMychal Green",37,136,312,640,2,2,3,4,0.2,0.08,0.06,0.04,0.451612903225806,0.521276595744681,0.548543689320388,0.52549889135255,0.777777777777778,0.69047619047619,0.702970297029703,0.650557620817844,0.318181818181818,0.384615384615385,0.4,0.340659340659341,1,0.9,0.771929824561403,0.832,0.5,0.591836734693878,0.628318584070796,0.738396624472574,0.181990786089764,0.178389557486777,0.186489865208829,0.170172499193708,0.3,0.28,0.24,0.14,0.1,0.12,0.18,0.15,0.1,0.16,0.2,0.16,0.2,0.16,0.18,0.17,0.1,0.12,0.14,0.09,0,0.04,0.12,0.11,0,0.04,0.08,0.07,0,0.04,0.02,0.01,0,0,0,0,0,0,0,0.01,0,0,0.06,0.05,0,0,0,0,0.1,0.08,0.12,0.09,0,0.04,0.02,0.01,0.1,0.04,0.1,0.08,0.1,0.04,0.1,0.08,0,0.08,0.1,0.05,0,0.04,0.06,0.07
"203263","James Nunnally",15,54,95,95,0,0,0,0,0,0,0,0,0.277777777777778,0.375,0.344086021505376,0.344086021505376,1,0.545454545454545,0.387096774193548,0.387096774193548,0.235294117647059,0.324324324324324,0.32258064516129,0.32258064516129,0.5,0.857142857142857,0.733333333333333,0.733333333333333,0.2,0.333333333333333,0.375,0.375,0.143959919775298,0.149433152810676,0.148756612996838,0.148756612996838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203268","Jorge Gutierrez",13,58,130,141,0,1,3,3,0,0.04,0.06,0.0566037735849057,0.363636363636364,0.51219512195122,0.475728155339806,0.486486486486487,0.444444444444444,0.567567567567568,0.534883720930233,0.542553191489362,0,0,0.176470588235294,0.176470588235294,0.833333333333333,0.842105263157895,0.763157894736842,0.75,1,1,0.938775510204082,0.944444444444444,0.147862216415367,0.140933308171045,0.146226447557883,0.146874471382252,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0
"203315","Toure' Murry",32,61,132,146,0,0,0,0,0,0,0,0,0.423076923076923,0.442307692307692,0.429752066115702,0.432835820895522,0.333333333333333,0.404255319148936,0.431192660550459,0.434426229508197,0.8,0.8,0.416666666666667,0.416666666666667,0.857142857142857,0.6875,0.621621621621622,0.609756097560976,0.636363636363636,0.826086956521739,0.903846153846154,0.913793103448276,0.236932151728247,0.23748859037512,0.218114951609236,0.226139974661378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203317","Tim Ohlbrecht",3,3,3,3,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0.280192374214714,0.280192374214714,0.280192374214714,0.280192374214714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
