GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0022200325,2,12,0,1,7:11 PM,12:00,,Start of 1st Period (7:11 PM EST),,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
0022200325,4,10,0,1,7:11 PM,12:00,Jump Ball Bagley III vs. Powell: Tip to Doncic,,,,,4,1628963,Marvin Bagley III,1610612765.0,Detroit,Pistons,DET,5,203939,Dwight Powell,1610612742.0,Dallas,Mavericks,DAL,5,1629029,Luka Doncic,1610612742.0,Dallas,Mavericks,DAL,1
0022200325,7,1,1,1,7:11 PM,11:43,,,Hardaway Jr. 29' 3PT Jump Shot (3 PTS) (Doncic 1 AST),3 - 0,-3,5,203501,Tim Hardaway Jr.,1610612742.0,Dallas,Mavericks,DAL,5,1629029,Luka Doncic,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1
0022200325,9,1,1,1,7:11 PM,11:20,Stewart 26' 3PT Jump Shot (3 PTS) (Bogdanovic 1 AST),,,3 - 3,TIE,4,1630191,Isaiah Stewart,1610612765.0,Detroit,Pistons,DET,4,202711,Bojan Bogdanovic,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,1
0022200325,11,1,98,1,7:12 PM,11:03,,,Powell 4' Cutting Layup Shot (2 PTS) (Hardaway Jr. 1 AST),5 - 3,-2,5,203939,Dwight Powell,1610612742.0,Dallas,Mavericks,DAL,5,203501,Tim Hardaway Jr.,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1
0022200325,13,6,2,1,7:12 PM,10:51,,,Powell S.FOUL (P1.T1) (P.Fraher),,,5,203939,Dwight Powell,1610612742.0,Dallas,Mavericks,DAL,4,1628963,Marvin Bagley III,1610612765.0,Detroit,Pistons,DET,1,0,,,,,,1
0022200325,15,3,11,1,7:12 PM,10:51,Bagley III Free Throw 1 of 2 (1 PTS),,,5 - 4,-1,4,1628963,Marvin Bagley III,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,,1
0022200325,16,3,12,1,7:13 PM,10:51,MISS Bagley III Free Throw 2 of 2,,,,,4,1628963,Marvin Bagley III,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,,1
0022200325,17,4,0,1,7:13 PM,10:48,,,Doncic REBOUND (Off:0 Def:1),,,5,1629029,Luka Doncic,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022200325,18,1,6,1,7:13 PM,10:30,,,Doncic 2' Driving Layup (2 PTS),7 - 4,-3,5,1629029,Luka Doncic,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022200325,19,1,1,1,7:13 PM,10:13,Bagley III 28' 3PT Jump Shot (4 PTS) (Hayes 1 AST),,,7 - 7,TIE,4,1628963,Marvin Bagley III,1610612765.0,Detroit,Pistons,DET,4,1630165,Killian Hayes,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,1
0022200325,21,1,80,1,7:14 PM,9:56,,,Doncic 26' 3PT Step Back Jump Shot (5 PTS),10 - 7,-3,5,1629029,Luka Doncic,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022200325,22,1,101,1,7:14 PM,9:42,Hayes 7' Driving Floating Jump Shot (2 PTS),,,10 - 9,-1,4,1630165,Killian Hayes,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,,1
0022200325,23,2,6,1,7:14 PM,9:18,,,MISS Finney-Smith 3' Driving Layup,,,5,1627827,Dorian Finney-Smith,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022200325,24,4,0,1,7:14 PM,9:16,Bagley III REBOUND (Off:0 Def:1),,,,,4,1628963,Marvin Bagley III,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,,1
0022200325,25,6,2,1,7:14 PM,9:14,,,Hardaway Jr. S.FOUL (P1.T2) (J.Reneau),,,5,203501,Tim Hardaway Jr.,1610612742.0,Dallas,Mavericks,DAL,4,202711,Bojan Bogdanovic,1610612765.0,Detroit,Pistons,DET,1,0,,,,,,1
0022200325,27,3,11,1,7:15 PM,9:14,Bogdanovic Free Throw 1 of 2 (1 PTS),,,10 - 10,TIE,4,202711,Bojan Bogdanovic,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,,1
0022200325,28,3,12,1,7:15 PM,9:14,Bogdanovic Free Throw 2 of 2 (2 PTS),,,10 - 11,1,4,202711,Bojan Bogdanovic,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,,1
0022200325,29,1,79,1,7:15 PM,9:02,,,Doncic 27' 3PT Pullup Jump Shot (8 PTS),13 - 11,-2,5,1629029,Luka Doncic,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022200325,30,5,39,1,7:16 PM,8:48,Livers Step Out of Bounds Turnover (P1.T1),,,,,4,1630587,Isaiah Livers,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,1,0,,,,,,1
0022200325,31,5,1,1,7:16 PM,8:33,Bagley III STEAL (1 STL),,Doncic Bad Pass Turnover (P1.T1),,,5,1629029,Luka Doncic,1610612742.0,Dallas,Mavericks,DAL,4,1628963,Marvin Bagley III,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,1
0022200325,33,5,1,1,7:16 PM,8:21,Stewart Bad Pass Turnover (P1.T2),,Doncic STEAL (1 STL),,,4,1630191,Isaiah Stewart,1610612765.0,Detroit,Pistons,DET,5,1629029,Luka Doncic,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1
0022200325,35,6,2,1,7:16 PM,8:16,Hayes S.FOUL (P1.T1) (P.Fraher),,,,,4,1630165,Killian Hayes,1610612765.0,Detroit,Pistons,DET,5,203915,Spencer Dinwiddie,1610612742.0,Dallas,Mavericks,DAL,1,0,,,,,,1
0022200325,37,3,11,1,7:17 PM,8:16,,,Dinwiddie Free Throw 1 of 2 (1 PTS),14 - 11,-3,5,203915,Spencer Dinwiddie,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022200325,38,3,12,1,7:17 PM,8:16,,,MISS Dinwiddie Free Throw 2 of 2,,,5,203915,Spencer Dinwiddie,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,0
0022200325,39,4,0,1,7:17 PM,8:13,Stewart REBOUND (Off:0 Def:1),,,,,4,1630191,Isaiah Stewart,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,,0
0022200325,40,1,80,1,7:17 PM,8:01,Bogdanovic 19' Step Back Jump Shot (4 PTS),,,14 - 13,-1,4,202711,Bojan Bogdanovic,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,,1
0022200325,41,1,1,1,7:17 PM,7:53,,,Hardaway Jr. 25' 3PT Jump Shot (6 PTS) (Doncic 2 AST),17 - 13,-4,5,203501,Tim Hardaway Jr.,1610612742.0,Dallas,Mavericks,DAL,5,1629029,Luka Doncic,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1
