GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS,WNBA_COMMISSIONER_FLAG
2022-11-30T00:00:00,1,0022200312,1,7:00 pm ET,20221130/PHICLE,1610612739,1610612755,2022,0,     ,,BSOH,NBCSP,Q0       - ,Rocket Mortgage FieldHouse,0,0
2022-11-30T00:00:00,2,0022200313,1,7:00 pm ET,20221130/ATLORL,1610612753,1610612737,2022,0,     ,,BSFL,BSSE-ATL,Q0       - ,Amway Center,0,0
2022-11-30T00:00:00,3,0022200314,1,7:30 pm ET,20221130/MIABOS,1610612738,1610612748,2022,0,     ,NBA TV,NBCSB,BSSUN,Q0       - NBA TV,TD Garden,0,0
2022-11-30T00:00:00,4,0022200315,1,7:30 pm ET,20221130/WASBKN,1610612751,1610612764,2022,0,     ,,YES,NBCSWA,Q0       - ,Barclays Center,0,0
2022-11-30T00:00:00,5,0022200316,1,7:30 pm ET,20221130/MILNYK,1610612752,1610612749,2022,0,     ,,MSG,BSWI,Q0       - ,Madison Square Garden,0,0
2022-11-30T00:00:00,6,0022200317,1,8:00 pm ET,20221130/MEMMIN,1610612750,1610612763,2022,0,     ,,BSN,BSSE-MEM,Q0       - ,Target Center,0,0
2022-11-30T00:00:00,7,0022200318,1,8:00 pm ET,20221130/TORNOP,1610612740,1610612761,2022,0,     ,,BSNO,TSN,Q0       - ,Smoothie King Center,0,0
2022-11-30T00:00:00,8,0022200319,1,8:00 pm ET,20221130/SASOKC,1610612760,1610612759,2022,0,     ,,BSOK,BSSW-SA,Q0       - ,Paycom Center,0,0
2022-11-30T00:00:00,9,0022200320,1,9:00 pm ET,20221130/HOUDEN,1610612743,1610612745,2022,0,     ,,ALT,ATTSN-SW,Q0       - ,Ball Arena,0,0
2022-11-30T00:00:00,10,0022200321,1,9:00 pm ET,20221130/CHIPHX,1610612756,1610612741,2022,0,     ,,BSAZ,NBCSCH,Q0       - ,Footprint Center,0,0
2022-11-30T00:00:00,11,0022200322,1,9:00 pm ET,20221130/LACUTA,1610612762,1610612746,2022,0,     ,,ATTSN-RM,ClipperVision,Q0       - ,Vivint Arena,0,0
2022-11-30T00:00:00,12,0022200323,1,10:00 pm ET,20221130/INDSAC,1610612758,1610612754,2022,0,     ,,NBCSCA,BSIN,Q0       - ,Golden 1 Center,0,0
2022-11-30T00:00:00,13,0022200324,1,10:30 pm ET,20221130/PORLAL,1610612747,1610612757,2022,0,     ,NBA TV,SPECSN,ROOT-SP+,Q0       - NBA TV,Crypto.com Arena,0,0
