GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS,WNBA_COMMISSIONER_FLAG
2022-03-18T00:00:00,1,0022101046,1,7:00 pm ET,20220318/DALPHI,1610612755,1610612742,2021,0,     ,,NBCSP,BSSW-DAL,Q0       - ,Wells Fargo Center,0,0
2022-03-18T00:00:00,2,0022101047,1,7:30 pm ET,20220318/MEMATL,1610612737,1610612763,2021,0,     ,NBA TV,BSSE-ATL,BSSE-MEM,Q0       - NBA TV,State Farm Arena,0,0
2022-03-18T00:00:00,3,0022101048,1,7:30 pm ET,20220318/PORBKN,1610612751,1610612757,2021,0,,,YES,ROOT-SP,Q0  - ,Barclays Center,0,0
2022-03-18T00:00:00,4,0022101049,1,7:30 pm ET,20220318/DENCLE,1610612739,1610612743,2021,0,     ,,BSOH,ALT,Q0       - ,Rocket Mortgage FieldHouse,0,0
2022-03-18T00:00:00,5,0022101050,1,7:30 pm ET,20220318/WASNYK,1610612752,1610612764,2021,0,     ,,MSG,NBCSWA,Q0       - ,Madison Square Garden,0,0
2022-03-18T00:00:00,6,0022101051,1,7:30 pm ET,20220318/LALTOR,1610612761,1610612747,2021,0,     ,,SN,SPECSN,Q0       - ,Scotiabank Arena,0,0
2022-03-18T00:00:00,7,0022101052,1,8:00 pm ET,20220318/OKCMIA,1610612748,1610612760,2021,0,,,BSSUN,BSOK,Q0  - ,FTX Arena,0,0
2022-03-18T00:00:00,8,0022101053,1,8:00 pm ET,20220318/INDHOU,1610612745,1610612754,2021,0,     ,,ATTSN-SW,BSIN,Q0       - ,Toyota Center,0,0
2022-03-18T00:00:00,9,0022101054,1,8:30 pm ET,20220318/NOPSAS,1610612759,1610612740,2021,0,     ,,BSSW-SA,BSNO,Q0       - ,AT&T Center,0,0
2022-03-18T00:00:00,10,0022101055,1,9:00 pm ET,20220318/LACUTA,1610612762,1610612746,2021,0,     ,,ATTSN-RM,BSSC,Q0       - ,Vivint Arena,0,0
2022-03-18T00:00:00,11,0022101056,1,10:00 pm ET,20220318/CHIPHX,1610612756,1610612741,2021,0,     ,NBA TV,BSAZ,NBCSCH,Q0       - NBA TV,Footprint Center,0,0
2022-03-18T00:00:00,12,0022101057,1,10:00 pm ET,20220318/BOSSAC,1610612758,1610612738,2021,0,,,NBCSCA,NBCSB,Q0  - ,Golden 1 Center,0,0
