GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS,WNBA_COMMISSIONER_FLAG
2022-01-05T00:00:00,1,0022100567,1,7:00 pm ET,20220105/DETCHA,1610612766,1610612765,2021,0,,,BSSE-CHA,BSDET,Q0  - ,Spectrum Center,0,0
2022-01-05T00:00:00,2,0022100568,1,7:00 pm ET,20220105/PHIORL,1610612753,1610612755,2021,0,     ,,BSFL,NBCSP,Q0       - ,Amway Center,0,0
2022-01-05T00:00:00,3,0022100569,1,7:00 pm ET,20220105/HOUWAS,1610612764,1610612745,2021,0,     ,,NBCSWA,ATTSN-SW,Q0       - ,Capital One Arena,0,0
2022-01-05T00:00:00,4,0022100570,1,7:30 pm ET,20220105/SASBOS,1610612738,1610612759,2021,0,,,NBCSB,BSSW-SA,Q0  - ,TD Garden,0,0
2022-01-05T00:00:00,5,0022100571,1,7:30 pm ET,20220105/BKNIND,1610612754,1610612751,2021,0,,,BSIN,YES,Q0  - ,Gainbridge Fieldhouse,0,0
2022-01-05T00:00:00,6,0022100572,1,7:30 pm ET,20220105/GSWDAL,1610612742,1610612744,2021,0,,ESPN,BSSW-DAL,NBCSBA,Q0  - ESPN,American Airlines Center,0,0
2022-01-05T00:00:00,7,0022100573,1,8:00 pm ET,20220105/TORMIL,1610612749,1610612761,2021,0,     ,,BSWI,SN,Q0       - ,Fiserv Forum,0,0
2022-01-05T00:00:00,8,0022100574,1,8:00 pm ET,20220105/OKCMIN,1610612750,1610612760,2021,0,,,BSN,BSOK,Q0  - ,Target Center,0,0
2022-01-05T00:00:00,9,0022100575,1,10:00 pm ET,20220105/UTADEN,1610612743,1610612762,2021,0,,ESPN,ALT,ATTSN-RM,Q0  - ESPN,Ball Arena,0,0
2022-01-05T00:00:00,10,0022100576,1,10:00 pm ET,20220105/MIAPOR,1610612757,1610612748,2021,0,,,ROOT-SP,BSSUN,Q0  - ,Moda Center,0,0
2022-01-05T00:00:00,11,0022100577,1,10:00 pm ET,20220105/ATLSAC,1610612758,1610612737,2021,0,,,NBCSCA,BSSE-ATL,Q0  - ,Golden 1 Center,0,0
