GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS,WNBA_COMMISSIONER_FLAG
2022-11-09T00:00:00,1,0022200161,1,5:30 pm ET,20221109/DALORL,1610612753,1610612742,2022,0,     ,,BSFL,BSSW-DAL,Q0       - ,Amway Center,0,0
2022-11-09T00:00:00,2,0022200159,1,7:00 pm ET,20221109/PORCHA,1610612766,1610612757,2022,0,     ,,BSSE-CHA,ROOT-SP+,Q0       - ,Spectrum Center,0,0
2022-11-09T00:00:00,3,0022200160,1,7:00 pm ET,20221109/DENIND,1610612754,1610612743,2022,0,     ,,BSIN,ALT,Q0       - ,Gainbridge Fieldhouse,0,0
2022-11-09T00:00:00,4,0022200162,1,7:30 pm ET,20221109/UTAATL,1610612737,1610612762,2022,0,     ,,BSSE-ATL,ATTSN-RM,Q0       - ,State Farm Arena,0,0
2022-11-09T00:00:00,5,0022200163,1,7:30 pm ET,20221109/DETBOS,1610612738,1610612765,2022,0,     ,,NBCSB,BSDET,Q0       - ,TD Garden,0,0
2022-11-09T00:00:00,6,0022200164,1,7:30 pm ET,20221109/NYKBKN,1610612751,1610612752,2022,0,     ,ESPN,YES,MSG,Q0       - ESPN,Barclays Center,0,0
2022-11-09T00:00:00,7,0022200165,1,7:30 pm ET,20221109/HOUTOR,1610612761,1610612745,2022,0,     ,,TSN,ATTSN-SW,Q0       - ,Scotiabank Arena,0,0
2022-11-09T00:00:00,8,0022200166,1,8:00 pm ET,20221109/NOPCHI,1610612741,1610612740,2022,0,     ,,NBCSCH,BSNO,Q0       - ,United Center,0,0
2022-11-09T00:00:00,9,0022200167,1,8:00 pm ET,20221109/PHXMIN,1610612750,1610612756,2022,0,     ,,BSN,BSAZ,Q0       - ,Target Center,0,0
2022-11-09T00:00:00,10,0022200168,1,8:00 pm ET,20221109/MILOKC,1610612760,1610612749,2022,0,     ,,BSOK,BSWI,Q0       - ,Paycom Center,0,0
2022-11-09T00:00:00,11,0022200169,1,8:00 pm ET,20221109/MEMSAS,1610612759,1610612763,2022,0,     ,,BSSW-SA,BSSE-MEM,Q0       - ,AT&T Center,0,0
2022-11-09T00:00:00,12,0022200170,1,10:00 pm ET,20221109/LALLAC,1610612746,1610612747,2022,0,     ,ESPN,ClipperVision,SPECSN,Q0       - ESPN,Crypto.com Arena,0,0
2022-11-09T00:00:00,13,0022200171,1,10:00 pm ET,20221109/CLESAC,1610612758,1610612739,2022,0,     ,,NBCSCA,BSOH,Q0       - ,Golden 1 Center,0,0
