GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS,WNBA_COMMISSIONER_FLAG
2021-12-09T00:00:00,1,0022100379,1,7:00 pm ET,20211209/UTAPHI,1610612755,1610612762,2021,0,     ,NBA TV,NBCSP,ATTSN-RM,Q0       - NBA TV,Wells Fargo Center,0,0
2021-12-09T00:00:00,2,0022100380,1,8:00 pm ET,20211209/LALMEM,1610612763,1610612747,2021,0,     ,,BSSE-MEM,SPECSN,Q0       - ,FedExForum,0,0
2021-12-09T00:00:00,3,0022100381,1,8:30 pm ET,20211209/DENSAS,1610612759,1610612743,2021,0,     ,,BSSW-SA,ALT,Q0       - ,AT&T Center,0,0
