"season_year","season_type","game_date","game_id","player_id","player_name","team_id","team_abbreviation","matchup","starter","event","shot_type","fpts_team_prob","fpts_exact","fpts_exact_prob_glmnet","fpts_exact_prob_earth","model","fpts_exact_prob"
"2023-24","Regular Season",2023-11-11,"0022300175","1628389","Bam Adebayo","1610612748","MIA","MIA @ ATL",TRUE,"points","dunk",0.339273749429855,NA,0.0207530075538501,0.0294289689472979,"points",0.025090988250574
"2023-24","Regular Season",2023-11-11,"0022300175","1629027","Trae Young","1610612737","ATL","ATL vs. MIA",TRUE,"points","dunk",0.223645112835776,NA,0.00861710216074314,0.00464978575130953,"points",0.00663344395602633
"2023-24","Regular Season",2023-11-11,"0022300175","1627749","Dejounte Murray","1610612737","ATL","ATL vs. MIA",TRUE,"points","dunk",0.203775622366686,NA,0.00930007861393003,0.00668503895930464,"points",0.00799255878661734
"2023-24","Regular Season",2023-11-11,"0022300175","1629631","De'Andre Hunter","1610612737","ATL","ATL vs. MIA",TRUE,"points","dunk",0.184236820582857,NA,0.0110498809683088,0.010554431527703,"points",0.0108021562480059
"2023-24","Regular Season",2023-11-11,"0022300175","1630552","Jalen Johnson","1610612737","ATL","ATL vs. MIA",TRUE,"points","dunk",0.204739724501635,NA,0.0272118556071153,0.0272761137074194,"points",0.0272439846572674
"2023-24","Regular Season",2023-11-11,"0022300175","203991","Clint Capela","1610612737","ATL","ATL vs. MIA",TRUE,"points","dunk",0.183602719713047,NA,0.0648412974211998,0.0609041144516937,"points",0.0628727059364468
"2023-24","Regular Season",2023-11-11,"0022300176","1629636","Darius Garland","1610612739","CLE","CLE @ GSW",TRUE,"points","dunk",0.193444833281948,NA,0.00830268759518781,0.0053856491974927,"points",0.00684416839634026
"2023-24","Regular Season",2023-11-11,"0022300176","1628378","Donovan Mitchell","1610612739","CLE","CLE @ GSW",TRUE,"points","dunk",0.258738992887557,NA,0.00992972230694241,0.00724301085185366,"points",0.00858636657939804
"2023-24","Regular Season",2023-11-11,"0022300176","1629622","Max Strus","1610612739","CLE","CLE @ GSW",TRUE,"points","dunk",0.150017486217044,NA,0.0098583699016125,0.0086374138794767,"points",0.0092478918905446
"2023-24","Regular Season",2023-11-11,"0022300176","1630596","Evan Mobley","1610612739","CLE","CLE @ GSW",TRUE,"points","dunk",0.212241987708117,NA,0.0407320461947744,0.0745134590018284,"points",0.0576227525983014
"2023-24","Regular Season",2023-11-11,"0022300176","1628386","Jarrett Allen","1610612739","CLE","CLE @ GSW",TRUE,"points","dunk",0.185556699905334,NA,0.0665643835209695,0.0884043746078666,"points",0.077484379064418
"2023-24","Regular Season",2023-11-11,"0022300176","201939","Stephen Curry","1610612744","GSW","GSW vs. CLE",TRUE,"points","dunk",0.210166556835542,NA,0.00876549519027444,0.00482893463746904,"points",0.00679721491387174
"2023-24","Regular Season",2023-11-11,"0022300176","202691","Klay Thompson","1610612744","GSW","GSW vs. CLE",TRUE,"points","dunk",0.213688386837655,NA,0.00901023770010983,0.00637016014586293,"points",0.00769019892298638
"2023-24","Regular Season",2023-11-11,"0022300176","203952","Andrew Wiggins","1610612744","GSW","GSW vs. CLE",TRUE,"points","dunk",0.225677239735713,NA,0.0141419539856292,0.0107088128527237,"points",0.0124253834191765
"2023-24","Regular Season",2023-11-11,"0022300176","203110","Draymond Green","1610612744","GSW","GSW vs. CLE",TRUE,"points","dunk",0.1575554269347,NA,0.0124021197009822,0.0102709046208565,"points",0.0113365121609194
"2023-24","Regular Season",2023-11-11,"0022300176","1626172","Kevon Looney","1610612744","GSW","GSW vs. CLE",TRUE,"points","dunk",0.19291238965639,NA,0.0386366265889526,0.0190265413565524,"points",0.0288315839727525
"2023-24","Regular Season",2023-11-11,"0022300173","203081","Damian Lillard","1610612749","MIL","MIL @ ORL",TRUE,"points","layup",0.197398238232597,NA,0.0501037031197163,0.0459178767951254,"points",0.0480107899574208
"2023-24","Regular Season",2023-11-11,"0022300173","1627736","Malik Beasley","1610612749","MIL","MIL @ ORL",TRUE,"points","layup",0.148109023537929,NA,0.0379044011566562,0.0272293735322878,"points",0.032566887344472
"2023-24","Regular Season",2023-11-11,"0022300173","203114","Khris Middleton","1610612749","MIL","MIL @ ORL",TRUE,"points","layup",0.185069471610391,NA,0.0423922865146497,0.0331159792256964,"points",0.037754132870173
"2023-24","Regular Season",2023-11-11,"0022300173","203507","Giannis Antetokounmpo","1610612749","MIL","MIL @ ORL",TRUE,"points","layup",0.286482144145896,NA,0.0755952266903816,0.121586560254831,"points",0.0985908934726061
"2023-24","Regular Season",2023-11-11,"0022300173","201572","Brook Lopez","1610612749","MIL","MIL @ ORL",TRUE,"points","layup",0.182941122473187,NA,0.0486407103964908,0.0447609412705747,"points",0.0467008258335328
"2023-24","Regular Season",2023-11-11,"0022300173","1628365","Markelle Fultz","1610612753","ORL","ORL vs. MIL",TRUE,"points","layup",0.178334699490097,NA,0.0561218642694314,0.0486549128552695,"points",0.0523883885623504
"2023-24","Regular Season",2023-11-11,"0022300173","1630591","Jalen Suggs","1610612753","ORL","ORL vs. MIL",TRUE,"points","layup",0.173192112674172,NA,0.0495757926591524,0.0387667363162132,"points",0.0441712644876828
"2023-24","Regular Season",2023-11-11,"0022300173","1630532","Franz Wagner","1610612753","ORL","ORL vs. MIL",TRUE,"points","layup",0.188219933697844,NA,0.0548841669053941,0.0530363304487933,"points",0.0539602486770937
"2023-24","Regular Season",2023-11-11,"0022300173","1631094","Paolo Banchero","1610612753","ORL","ORL vs. MIL",TRUE,"points","layup",0.216447140776714,NA,0.0618752725534509,0.0718282343073697,"points",0.0668517534304103
"2023-24","Regular Season",2023-11-11,"0022300173","1629048","Goga Bitadze","1610612753","ORL","ORL vs. MIL",TRUE,"points","layup",0.243806113361174,NA,0.0765911182810048,0.107620202160003,"points",0.092105660220504
"2023-24","Regular Season",2023-11-11,"0022300174","203471","Dennis Schroder","1610612761","TOR","TOR @ BOS",TRUE,"points","layup",0.170597532653376,NA,0.0467479058408384,0.0389000048065843,"points",0.0428239553237113
"2023-24","Regular Season",2023-11-11,"0022300174","1628384","O.G. Anunoby","1610612761","TOR","TOR @ BOS",TRUE,"points","layup",0.106047475597464,NA,0.0291116822789978,0.0135615121441397,"points",0.0213365972115688
"2023-24","Regular Season",2023-11-11,"0022300174","1630567","Scottie Barnes","1610612761","TOR","TOR @ BOS",TRUE,"points","layup",0.229132116303256,NA,0.0536086700759021,0.058556578699107,"points",0.0560826243875046
"2023-24","Regular Season",2023-11-11,"0022300174","1627783","Pascal Siakam","1610612761","TOR","TOR @ BOS",TRUE,"points","layup",0.260099526587047,NA,0.0588842967395939,0.0779190803553685,"points",0.0684016885474812
"2023-24","Regular Season",2023-11-11,"0022300174","1627751","Jakob Poeltl","1610612761","TOR","TOR @ BOS",TRUE,"points","layup",0.234123348858857,NA,0.0766199268567896,0.101608826446855,"points",0.0891143766518223
"2023-24","Regular Season",2023-11-11,"0022300174","201950","Jrue Holiday","1610612738","BOS","BOS vs. TOR",TRUE,"points","layup",0.162031687920461,NA,0.0475054464096467,0.0363306795335229,"points",0.0419180629715848
"2023-24","Regular Season",2023-11-11,"0022300174","1628401","Derrick White","1610612738","BOS","BOS vs. TOR",TRUE,"points","layup",0.141085967394875,NA,0.0412855748490513,0.0274957787569793,"points",0.0343906768030153
"2023-24","Regular Season",2023-11-11,"0022300174","1627759","Jaylen Brown","1610612738","BOS","BOS vs. TOR",TRUE,"points","layup",0.219169896312369,NA,0.0556277318875363,0.055946703327692,"points",0.0557872176076142
"2023-24","Regular Season",2023-11-11,"0022300174","1628369","Jayson Tatum","1610612738","BOS","BOS vs. TOR",TRUE,"points","layup",0.220921440476133,NA,0.0572148376450347,0.0575352787244554,"points",0.0573750581847451
"2023-24","Regular Season",2023-11-11,"0022300174","204001","Kristaps Porzingis","1610612738","BOS","BOS vs. TOR",TRUE,"points","layup",0.256791007896162,NA,0.0460934220287142,0.0472374200942615,"points",0.0466654210614878
"2023-24","Regular Season",2023-11-11,"0022300175","200768","Kyle Lowry","1610612748","MIA","MIA @ ATL",TRUE,"points","layup",0.152334231315071,NA,0.0373820333376981,0.0233896214860818,"points",0.0303858274118899
"2023-24","Regular Season",2023-11-11,"0022300175","1629130","Duncan Robinson","1610612748","MIA","MIA @ ATL",TRUE,"points","layup",0.174875204583279,NA,0.0398977917771982,0.0327890330348782,"points",0.0363434124060382
"2023-24","Regular Season",2023-11-11,"0022300175","1631170","Jaime Jaquez Jr.","1610612748","MIA","MIA @ ATL",TRUE,"points","layup",0.148525694864461,NA,0.0527911668399531,0.0474017706592408,"points",0.0500964687495969
"2023-24","Regular Season",2023-11-11,"0022300175","1629312","Haywood Highsmith","1610612748","MIA","MIA @ ATL",TRUE,"points","layup",0.184991119807334,NA,0.0501736667659609,0.0447517913711818,"points",0.0474627290685714
"2023-24","Regular Season",2023-11-11,"0022300175","1628389","Bam Adebayo","1610612748","MIA","MIA @ ATL",TRUE,"points","layup",0.339273749429855,NA,0.0602982958528387,0.0772567042291934,"points",0.068777500041016
"2023-24","Regular Season",2023-11-11,"0022300175","1629027","Trae Young","1610612737","ATL","ATL vs. MIA",TRUE,"points","layup",0.223645112835776,NA,0.0478717598440828,0.0468292876050043,"points",0.0473505237245436
"2023-24","Regular Season",2023-11-11,"0022300175","1627749","Dejounte Murray","1610612737","ATL","ATL vs. MIA",TRUE,"points","layup",0.203775622366686,NA,0.0470073039089186,0.0457260215091678,"points",0.0463666627090432
"2023-24","Regular Season",2023-11-11,"0022300175","1629631","De'Andre Hunter","1610612737","ATL","ATL vs. MIA",TRUE,"points","layup",0.184236820582857,NA,0.0397737925629236,0.0301796158331436,"points",0.0349767041980336
"2023-24","Regular Season",2023-11-11,"0022300175","1630552","Jalen Johnson","1610612737","ATL","ATL vs. MIA",TRUE,"points","layup",0.204739724501635,NA,0.0534103695053448,0.0447337294547675,"points",0.0490720494800561
"2023-24","Regular Season",2023-11-11,"0022300175","203991","Clint Capela","1610612737","ATL","ATL vs. MIA",TRUE,"points","layup",0.183602719713047,NA,0.0677036300703176,0.0772912461325088,"points",0.0724974381014132
"2023-24","Regular Season",2023-11-11,"0022300176","1629636","Darius Garland","1610612739","CLE","CLE @ GSW",TRUE,"points","layup",0.193444833281948,NA,0.0478523743976276,0.0433377239447006,"points",0.0455950491711641
"2023-24","Regular Season",2023-11-11,"0022300176","1628378","Donovan Mitchell","1610612739","CLE","CLE @ GSW",TRUE,"points","layup",0.258738992887557,NA,0.0531598604418432,0.0571839904947415,"points",0.0551719254682923
"2023-24","Regular Season",2023-11-11,"0022300176","1629622","Max Strus","1610612739","CLE","CLE @ GSW",TRUE,"points","layup",0.150017486217044,NA,0.0414961531627108,0.0301523170650586,"points",0.0358242351138847
"2023-24","Regular Season",2023-11-11,"0022300176","1630596","Evan Mobley","1610612739","CLE","CLE @ GSW",TRUE,"points","layup",0.212241987708117,NA,0.0496070360871509,0.0528199568950752,"points",0.0512134964911131
"2023-24","Regular Season",2023-11-11,"0022300176","1628386","Jarrett Allen","1610612739","CLE","CLE @ GSW",TRUE,"points","layup",0.185556699905334,NA,0.0537697662649227,0.0517532151419824,"points",0.0527614907034525
"2023-24","Regular Season",2023-11-11,"0022300176","201939","Stephen Curry","1610612744","GSW","GSW vs. CLE",TRUE,"points","layup",0.210166556835542,NA,0.0483615957483764,0.0470733843273232,"points",0.0477174900378498
"2023-24","Regular Season",2023-11-11,"0022300176","202691","Klay Thompson","1610612744","GSW","GSW vs. CLE",TRUE,"points","layup",0.213688386837655,NA,0.0412146694975714,0.0337804193170977,"points",0.0374975444073345
"2023-24","Regular Season",2023-11-11,"0022300176","203952","Andrew Wiggins","1610612744","GSW","GSW vs. CLE",TRUE,"points","layup",0.225677239735713,NA,0.0496338686520335,0.0524726814192029,"points",0.0510532750356182
"2023-24","Regular Season",2023-11-11,"0022300176","203110","Draymond Green","1610612744","GSW","GSW vs. CLE",TRUE,"points","layup",0.1575554269347,NA,0.0714397251930329,0.079047700590851,"points",0.075243712891942
"2023-24","Regular Season",2023-11-11,"0022300176","1626172","Kevon Looney","1610612744","GSW","GSW vs. CLE",TRUE,"points","layup",0.19291238965639,NA,0.100325908439009,0.144675086747898,"points",0.122500497593454
"2023-24","Regular Season",2023-11-11,"0022300173","203081","Damian Lillard","1610612749","MIL","MIL @ ORL",TRUE,"points","other_fg",0.197398238232597,NA,0.0461964751979756,0.0331538117455582,"points",0.0396751434717669
"2023-24","Regular Season",2023-11-11,"0022300173","1627736","Malik Beasley","1610612749","MIL","MIL @ ORL",TRUE,"points","other_fg",0.148109023537929,NA,0.0356677933307184,0.0189906102510964,"points",0.0273292017909074
"2023-24","Regular Season",2023-11-11,"0022300173","203114","Khris Middleton","1610612749","MIL","MIL @ ORL",TRUE,"points","other_fg",0.185069471610391,NA,0.0743292999688755,0.0803027035411598,"points",0.0773160017550177
"2023-24","Regular Season",2023-11-11,"0022300173","203507","Giannis Antetokounmpo","1610612749","MIL","MIL @ ORL",TRUE,"points","other_fg",0.286482144145896,NA,0.0686843318935275,0.0547820492222422,"points",0.0617331905578849
"2023-24","Regular Season",2023-11-11,"0022300173","201572","Brook Lopez","1610612749","MIL","MIL @ ORL",TRUE,"points","other_fg",0.182941122473187,NA,0.0576875898838904,0.0678732319311266,"points",0.0627804109075085
"2023-24","Regular Season",2023-11-11,"0022300173","1628365","Markelle Fultz","1610612753","ORL","ORL vs. MIL",TRUE,"points","other_fg",0.178334699490097,NA,0.0709818785883193,0.0761406634959379,"points",0.0735612710421286
"2023-24","Regular Season",2023-11-11,"0022300173","1630591","Jalen Suggs","1610612753","ORL","ORL vs. MIL",TRUE,"points","other_fg",0.173192112674172,NA,0.044073873776593,0.0361028759355088,"points",0.0400883748560509
"2023-24","Regular Season",2023-11-11,"0022300173","1630532","Franz Wagner","1610612753","ORL","ORL vs. MIL",TRUE,"points","other_fg",0.188219933697844,NA,0.0495785887637417,0.0489785987240272,"points",0.0492785937438844
"2023-24","Regular Season",2023-11-11,"0022300173","1631094","Paolo Banchero","1610612753","ORL","ORL vs. MIL",TRUE,"points","other_fg",0.216447140776714,NA,0.0639883302290438,0.0611541592710234,"points",0.0625712447500336
"2023-24","Regular Season",2023-11-11,"0022300173","1629048","Goga Bitadze","1610612753","ORL","ORL vs. MIL",TRUE,"points","other_fg",0.243806113361174,NA,0.0583164182120601,0.0544946961795351,"points",0.0564055571957976
"2023-24","Regular Season",2023-11-11,"0022300174","203471","Dennis Schroder","1610612761","TOR","TOR @ BOS",TRUE,"points","other_fg",0.170597532653376,NA,0.0570553231967896,0.0566875703496086,"points",0.0568714467731991
"2023-24","Regular Season",2023-11-11,"0022300174","1628384","O.G. Anunoby","1610612761","TOR","TOR @ BOS",TRUE,"points","other_fg",0.106047475597464,NA,0.0245506869455574,0.00977197676058318,"points",0.0171613318530703
"2023-24","Regular Season",2023-11-11,"0022300174","1630567","Scottie Barnes","1610612761","TOR","TOR @ BOS",TRUE,"points","other_fg",0.229132116303256,NA,0.0772127177544977,0.0797981251122299,"points",0.0785054214333638
"2023-24","Regular Season",2023-11-11,"0022300174","1627783","Pascal Siakam","1610612761","TOR","TOR @ BOS",TRUE,"points","other_fg",0.260099526587047,NA,0.0873380529191675,0.0938487526823538,"points",0.0905934028007607
"2023-24","Regular Season",2023-11-11,"0022300174","1627751","Jakob Poeltl","1610612761","TOR","TOR @ BOS",TRUE,"points","other_fg",0.234123348858857,NA,0.0832682713017237,0.0953701219394687,"points",0.0893191966205962
"2023-24","Regular Season",2023-11-11,"0022300174","201950","Jrue Holiday","1610612738","BOS","BOS vs. TOR",TRUE,"points","other_fg",0.162031687920461,NA,0.0518620726749102,0.0557108905876048,"points",0.0537864816312575
"2023-24","Regular Season",2023-11-11,"0022300174","1628401","Derrick White","1610612738","BOS","BOS vs. TOR",TRUE,"points","other_fg",0.141085967394875,NA,0.0378339312074061,0.0258323798550877,"points",0.0318331555312469
"2023-24","Regular Season",2023-11-11,"0022300174","1627759","Jaylen Brown","1610612738","BOS","BOS vs. TOR",TRUE,"points","other_fg",0.219169896312369,NA,0.0645834950125023,0.0759232231417348,"points",0.0702533590771186
"2023-24","Regular Season",2023-11-11,"0022300174","1628369","Jayson Tatum","1610612738","BOS","BOS vs. TOR",TRUE,"points","other_fg",0.220921440476133,NA,0.0534892060417599,0.0527766138163029,"points",0.0531329099290314
"2023-24","Regular Season",2023-11-11,"0022300174","204001","Kristaps Porzingis","1610612738","BOS","BOS vs. TOR",TRUE,"points","other_fg",0.256791007896162,NA,0.089449035838274,0.109081916766059,"points",0.0992654763021666
"2023-24","Regular Season",2023-11-11,"0022300175","200768","Kyle Lowry","1610612748","MIA","MIA @ ATL",TRUE,"points","other_fg",0.152334231315071,NA,0.0466487285122042,0.0512756762302324,"points",0.0489622023712183
"2023-24","Regular Season",2023-11-11,"0022300175","1629130","Duncan Robinson","1610612748","MIA","MIA @ ATL",TRUE,"points","other_fg",0.174875204583279,NA,0.0371595775479757,0.0207525535611747,"points",0.0289560655545752
"2023-24","Regular Season",2023-11-11,"0022300175","1631170","Jaime Jaquez Jr.","1610612748","MIA","MIA @ ATL",TRUE,"points","other_fg",0.148525694864461,NA,0.0340334665915117,0.0196327148679423,"points",0.026833090729727
"2023-24","Regular Season",2023-11-11,"0022300175","1629312","Haywood Highsmith","1610612748","MIA","MIA @ ATL",TRUE,"points","other_fg",0.184991119807334,NA,0.041072569294164,0.0239269067635681,"points",0.032499738028866
"2023-24","Regular Season",2023-11-11,"0022300175","1628389","Bam Adebayo","1610612748","MIA","MIA @ ATL",TRUE,"points","other_fg",0.339273749429855,NA,0.162527081684254,0.232217550842674,"points",0.197372316263464
"2023-24","Regular Season",2023-11-11,"0022300175","1629027","Trae Young","1610612737","ATL","ATL vs. MIA",TRUE,"points","other_fg",0.223645112835776,NA,0.0897875498356636,0.121509845997968,"points",0.105648697916816
"2023-24","Regular Season",2023-11-11,"0022300175","1627749","Dejounte Murray","1610612737","ATL","ATL vs. MIA",TRUE,"points","other_fg",0.203775622366686,NA,0.0788514231303173,0.0767132527046785,"points",0.0777823379174979
"2023-24","Regular Season",2023-11-11,"0022300175","1629631","De'Andre Hunter","1610612737","ATL","ATL vs. MIA",TRUE,"points","other_fg",0.184236820582857,NA,0.0706438762377822,0.0972052499907392,"points",0.0839245631142607
"2023-24","Regular Season",2023-11-11,"0022300175","1630552","Jalen Johnson","1610612737","ATL","ATL vs. MIA",TRUE,"points","other_fg",0.204739724501635,NA,0.0478806254458592,0.0361609824316731,"points",0.0420208039387662
"2023-24","Regular Season",2023-11-11,"0022300175","203991","Clint Capela","1610612737","ATL","ATL vs. MIA",TRUE,"points","other_fg",0.183602719713047,NA,0.0430889597928829,0.032391541275364,"points",0.0377402505341235
