"season_year","season_type","game_date","game_id","period","period_clock","player1_name","player1_id","player1_team","player2_name","player2_id","player2_team","tip_win_player","tip_win_team","opening_tip","center_court"
"2022-23","Playoffs",2023-05-05,"1111111111",1,"720S",NA,NA,1610612755,NA,NA,1610612738,NA,NA,TRUE,TRUE
"2022-23","Playoffs",2023-05-05,"1111111111",1,"720S",NA,NA,1610612756,"Nikola Jokic","203999",1610612743,NA,NA,TRUE,TRUE
