,GAME_ID,SBR_GAME_ID,DATE,TEAM1_ID,TEAM2_ID,TEAM1_SCORE,TEAM2_SCORE,WINNER,away_prob,away_spread,away_total,date_m,TEAM1_10wp,TEAM1_25wp,TEAM1_50wp,TEAM1_75wp,TEAM1_100wp,TEAM2_10wp,TEAM2_25wp,TEAM2_50wp,TEAM2_75wp,TEAM2_100wp
2752,21400043,20141103_nba_Houston_Philadelphia,20141103.0,1610612745,1610612745,104.0,93.0,1,0.8947368421052632,-11.0,200.5,2014-11-03,,,,,,,,,,
3999,21400045,20141103_nba_New Orleans_Memphis,20141103.0,1610612740,1610612740,81.0,93.0,2,0.392156862745098,4.0,187.0,2014-11-03,,,,,,,,,,
4005,21400044,20141103_nba_Oklahoma City_Brooklyn,20141103.0,1610612760,1610612760,85.0,116.0,2,0.3030303030303031,6.5,192.5,2014-11-03,,,,,,,,,,
3431,21400055,20141104_nba_Cleveland_Portland,20141104.0,1610612739,1610612739,82.0,101.0,2,0.5833333333333334,-2.5,209.5,2014-11-04,,,,,,,,,,
2817,21400056,20141104_nba_Phoenix_L.A. Lakers,20141104.0,1610612756,1610612756,112.0,106.0,1,0.7142857142857142,-6.0,213.0,2014-11-04,,,,,,,,,,
3371,21400054,20141104_nba_Charlotte_New Orleans,20141104.0,1610612766,1610612766,91.0,100.0,2,0.392156862745098,4.0,190.0,2014-11-04,,,,,,,,,,
4023,21400050,20141104_nba_Houston_Miami,20141104.0,1610612745,1610612745,108.0,91.0,1,0.4608294930875576,2.5,205.0,2014-11-04,,,,,,,,,,
3991,21400051,20141104_nba_Washington_New York,20141104.0,1610612764,1610612764,98.0,83.0,1,0.5652173913043478,-2.0,190.5,2014-11-04,,,,,,,,,,
2765,21400057,20141105_nba_Miami_Charlotte,20141105.0,1610612748,1610612748,89.0,96.0,2,0.4878048780487805,1.5,190.0,2014-11-05,,,,,,,,,,
6942,21400066,20141105_nba_Cleveland_Utah,20141105.0,1610612739,1610612739,100.0,102.0,2,0.696969696969697,-5.5,207.0,2014-11-05,,,,,,,,,,
6355,21400064,20141105_nba_Atlanta_San Antonio,20141105.0,1610612737,1610612737,92.0,94.0,2,0.2409638554216868,8.0,202.0,2014-11-05,,,,,,,,,,
