"home_team_abbrev","home_team_jumper","home_team_person_id","home_injury_status","away_team_abbrev","away_team_jumper","away_team_person_id","away_injury_status","season","season_type","game_date","game_id","matchup","period","period_clock","opening_jump","center_court","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location"
"IND","Myles Turner","1626167","Very Likely To Play","MIA","Bam Adebayo","1628389","Very Likely To Play","2022-23","Regular Season",2022-12-12,"1111111111","ABC vs. XYZ",1,720,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home"
"WAS","Kristaps Porzingis","204001","Very Likely To Play","BKN","Nic Claxton","1629651","Very Likely To Play","2022-23","Regular Season",2022-12-12,"1111111111","ABC vs. XYZ",1,720,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home"
"MEM","Brandon Clarke","1629634","Very Likely To Play","ATL","Clint Capela","203991","Toss Up To Play","2022-23","Regular Season",2022-12-12,"1111111111","ABC vs. XYZ",1,720,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home"
"DAL","Dwight Powell","203939","Very Likely To Play","OKC","Jeremiah Robinson-Earl","1630526","Very Likely To Play","2022-23","Regular Season",2022-12-12,"1111111111","ABC vs. XYZ",1,720,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home"
"SAS","Zach Collins","1628380","Very Likely To Play","CLE","Jarrett Allen","1628386","Very Likely To Play","2022-23","Regular Season",2022-12-12,"1111111111","ABC vs. XYZ",1,720,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home"
"POR","Jusuf Nurkic","203994","Very Likely To Play","MIN","Rudy Gobert","203497","Very Likely To Play","2022-23","Regular Season",2022-12-12,"1111111111","ABC vs. XYZ",1,720,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home"
"LAC","Ivica Zubac","1627826","Toss Up To Play","BOS","Blake Griffin","201933","Very Likely To Play","2022-23","Regular Season",2022-12-12,"1111111111","ABC vs. XYZ",1,720,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home"
