"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","win_tip_prob_xtip","final_score_first_prob_all","final_score_first_prob_all_2Q","final_score_first_prob_all_3Q","final_score_first_prob_all_4Q"
"2019-20","Pre Season",2019-10-10,"11900036","LAC vs. DEN",TRUE,TRUE,1,720,"JaMychal Green","203210","LAC","Nikola Jokic","203999","DEN","LAC","LAC","DEN","DEN","DEN",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.368935611025413,0.441146412244597,0.535020851728814,0.525571217185192,0.426693115320882
"2019-20","Pre Season",2019-10-11,"11900037","DET vs. CLE",TRUE,TRUE,1,720,"Andre Drummond","203083","DET","Tristan Thompson","202684","CLE","DET","DET","CLE","CLE","DET",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.853781270966312,0.615282441899728,0.423365231007362,0.423588242163672,0.604339800950259
"2019-20","Pre Season",2019-10-11,"11900038","IND vs. CHI",TRUE,TRUE,1,720,"Myles Turner","1626167","IND","Daniel Gafford","1629655","CHI","IND","IND","CHI","CHI","CHI",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.387367021611167,0.494477765776578,0.530184748843291,0.537144027771334,0.463839699171134
"2019-20","Pre Season",2019-10-11,"11900039","ORL vs. BOS",TRUE,TRUE,1,720,"Mo Bamba","1628964","ORL","Daniel Theis","1628464","BOS","ORL","BOS","BOS","BOS","ORL",TRUE,FALSE,FALSE,FALSE,TRUE,"Home",0.530871983987789,0.505184937385664,0.491713364392217,0.492286691669329,0.494830865127236
"2019-20","Pre Season",2019-10-11,"11900040","PHI @ CHA",TRUE,TRUE,1,720,"Cody Zeller","203469","CHA","Al Horford","201143","PHI","PHI","PHI","CHA","PHI","CHA",FALSE,FALSE,TRUE,FALSE,TRUE,"Home",0.289680011981137,0.418358130089219,0.553987513064903,0.543725030383614,0.410781678689778
"2019-20","Pre Season",2019-10-11,"11900041","NYK vs. WAS",TRUE,TRUE,1,720,"Mitchell Robinson","1629011","NYK","Thomas Bryant","1628418","WAS","NYK","NYK","WAS","WAS","NYK",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.383598090358738,0.483371318476192,0.531191143742618,0.529513769328027,0.457895847565867
"2019-20","Pre Season",2019-10-11,"11900042","NOP vs. UTA",TRUE,TRUE,1,720,"Derrick Favors","202324","NOP","Rudy Gobert","203497","UTA","UTA","UTA","NOP","UTA","UTA",FALSE,FALSE,TRUE,FALSE,FALSE,"Home",0.347704277412414,0.458807494179634,0.540756049712413,0.535485167808505,0.439894905414582
"2019-20","Pre Season",2019-10-11,"11900043","MIL @ DAL",TRUE,TRUE,1,720,"Kristaps Porzingis","204001","DAL","Robin Lopez","201577","MIL","DAL","DAL","MIL","MIL","MIL",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.430700724075582,0.465471399989258,0.518591534162747,0.513657072712058,0.457882371250624
"2019-20","Pre Season",2019-10-12,"11900045","POR vs. PHX",TRUE,TRUE,1,720,"Hassan Whiteside","202355","POR","Aron Baynes","203382","PHX","POR","PHX","PHX","POR","PHX",TRUE,FALSE,FALSE,TRUE,FALSE,"Home",0.569690036102708,0.54567338660715,0.480455762011747,0.497351277094044,0.523908702188848
"2019-20","Pre Season",2019-10-13,"11900046","BOS vs. CLE",TRUE,TRUE,1,720,"Daniel Theis","1628464","BOS","Larry Nance Jr.","1626204","CLE","CLE","BOS","BOS","BOS","CLE",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.412279223465626,0.495931117154977,0.522849513238212,0.526422954189104,0.463848531261605
"2019-20","Pre Season",2019-10-13,"11900048","SAS vs. NOP",TRUE,TRUE,1,720,"Jakob Poeltl","1627751","SAS","Derrick Favors","202324","NOP","SAS","SAS","NOP","NOP","SAS",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.504152244797997,0.497220945525898,0.498917559039756,0.498376645441617,0.486394582999873
"2019-20","Pre Season",2019-10-13,"11900049","PHI @ ORL",TRUE,TRUE,1,720,"Mo Bamba","1628964","ORL","Joel Embiid","203954","PHI","PHI","PHI","PHI","PHI","ORL",FALSE,FALSE,FALSE,FALSE,TRUE,"Home",0.453651048893284,0.472149788635667,0.512079942831962,0.508408390652912,0.463504366774376
"2019-20","Pre Season",2019-10-13,"11900050","CHI @ TOR",TRUE,TRUE,1,720,"Chris Boucher","1628449","TOR","Wendell Carter Jr.","1628976","CHI","CHI","TOR","CHI","CHI","TOR",FALSE,TRUE,FALSE,FALSE,TRUE,"Home",0.441788371030645,0.496697931543459,0.515169759157635,0.51578633738486,0.471162042104609
"2019-20","Pre Season",2019-10-13,"11900051","MIL @ WAS",TRUE,TRUE,1,720,"Thomas Bryant","1628418","WAS","Brook Lopez","201572","MIL","MIL","MIL","MIL","MIL","MIL",FALSE,FALSE,FALSE,FALSE,FALSE,"Home",0.236802690151203,0.404813885612463,0.579740523262862,0.557598473603456,0.383767742893173
"2019-20","Pre Season",2019-10-14,"11900053","ATL @ MIA",TRUE,TRUE,1,720,"Bam Adebayo","1628389","MIA","Alex Len","203458","ATL","MIA","ATL","MIA","MIA","ATL",TRUE,FALSE,TRUE,TRUE,FALSE,"Home",0.519862282276733,0.526260253833187,0.49450362091519,0.500656014284277,0.502050747592451
"2019-20","Pre Season",2019-10-14,"11900054","CHA @ MEM",TRUE,TRUE,1,720,"Jaren Jackson Jr.","1628991","MEM","Cody Zeller","203469","CHA","MEM","MEM","MEM","CHA","CHA",TRUE,TRUE,TRUE,FALSE,FALSE,"Home",0.683842507986682,0.572626914898339,0.449355390887788,0.460560550206502,0.558036560416208
"2019-20","Pre Season",2019-10-14,"11900055","DAL vs. OKC",TRUE,TRUE,1,720,"Kristaps Porzingis","204001","DAL","Nerlens Noel","203457","OKC","DAL","DAL","OKC","DAL","DAL",TRUE,TRUE,FALSE,TRUE,TRUE,"Home",0.717265947823997,0.590165066821855,0.443073917117134,0.459990932856234,0.572457297629994
"2019-20","Pre Season",2019-10-14,"11900056","PHX vs. DEN",TRUE,TRUE,1,720,"Deandre Ayton","1629028","PHX","Jerami Grant","203924","DEN","DEN","DEN","DEN","PHX","DEN",FALSE,FALSE,FALSE,TRUE,FALSE,"Home",0.486602554669418,0.475664970320839,0.50370750884707,0.497830349663286,0.477430267819894
"2019-20","Pre Season",2019-10-14,"11900057","UTA vs. SAC",TRUE,TRUE,1,720,"Rudy Gobert","203497","UTA","Marvin Bagley III","1628963","SAC","SAC","SAC","UTA","SAC","UTA",FALSE,FALSE,TRUE,FALSE,TRUE,"Home",0.502757410863398,0.525223542711132,0.499236916932498,0.508047044474189,0.497485520541714
"2019-20","Pre Season",2019-10-14,"11900058","LAL vs. GSW",TRUE,TRUE,1,720,"Dwight Howard","2730","LAL","Marquese Chriss","1627737","GSW","GSW","LAL","LAL","GSW","GSW",FALSE,TRUE,TRUE,FALSE,FALSE,"Home",0.705239509675616,0.544905187205619,0.445135724074087,0.448817046032736,0.55322930525439
"2019-20","Pre Season",2019-10-15,"11900059","CLE vs. BOS",TRUE,TRUE,1,720,"Jarell Martin","1626185","CLE","Robert Williams III","1629057","BOS","BOS","CLE","BOS","CLE","BOS",FALSE,TRUE,FALSE,TRUE,FALSE,"Home",0.526721901467087,0.532431375261116,0.493762471682648,0.499761010658666,0.505843098533899
"2019-20","Pre Season",2019-10-15,"11900060","MIN @ IND",TRUE,TRUE,1,720,"Myles Turner","1626167","IND","Karl-Anthony Towns","1626157","MIN","MIN","MIN","MIN","IND","MIN",FALSE,FALSE,FALSE,TRUE,FALSE,"Home",0.305330253818253,0.459967004095975,0.545977156217385,0.546648731763925,0.426819895669004
"2019-20","Pre Season",2019-10-15,"11900061","DET @ PHI",TRUE,TRUE,1,720,"Joel Embiid","203954","PHI","Thon Maker","1627748","DET","PHI","PHI","DET","PHI","DET",TRUE,TRUE,FALSE,TRUE,FALSE,"Home",0.709422659317216,0.593707708216099,0.44879536389533,0.46257603488272,0.573591537001801
"2019-20","Pre Season",2019-10-16,"11900062","DET @ CHA",TRUE,TRUE,1,720,"Cody Zeller","203469","CHA","Andre Drummond","203083","DET","DET","CHA","CHA","CHA","CHA",FALSE,TRUE,TRUE,TRUE,TRUE,"Home",0.141452795102631,0.407922962307528,0.611897643084041,0.584148403830396,0.372859513682055
"2019-20","Pre Season",2019-10-16,"11900063","ATL @ NYK",TRUE,TRUE,1,720,"Bobby Portis","1626171","NYK","John Collins","1628381","ATL","ATL","NYK","NYK","ATL","NYK",FALSE,TRUE,TRUE,FALSE,TRUE,"Home",0.563523220425975,0.529448038167465,0.484708117636878,0.487142345645193,0.51312677656059
"2019-20","Pre Season",2019-10-16,"11900064","SAS @ HOU",TRUE,TRUE,1,720,"Clint Capela","203991","HOU","LaMarcus Aldridge","200746","SAS","HOU","HOU","SAS","SAS","SAS",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.656098670328816,0.579133748529915,0.462497430459425,0.479604883797626,0.558087258843541
"2019-20","Pre Season",2019-10-16,"11900065","OKC vs. MEM",TRUE,TRUE,1,720,"Steven Adams","203500","OKC","Jaren Jackson Jr.","1628991","MEM","OKC","OKC","OKC","MEM","MEM",TRUE,TRUE,TRUE,FALSE,FALSE,"Home",0.630978315781817,0.561807169066626,0.468510320857412,0.476561717729838,0.543896013580152
"2019-20","Pre Season",2019-10-16,"11900066","UTA vs. POR",TRUE,TRUE,1,720,"Rudy Gobert","203497","UTA","Hassan Whiteside","202355","POR","POR","POR","UTA","UTA","POR",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.582557623929959,0.543251173617136,0.480131416084489,0.484329330764542,0.523917702028709
"2019-20","Pre Season",2019-10-16,"11900068","LAL vs. GSW",TRUE,TRUE,1,720,"JaVale McGee","201580","LAL","Marquese Chriss","1627737","GSW","GSW","GSW","LAL","LAL","GSW",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.758587230756172,0.605247897415545,0.427299854032858,0.452433337798708,0.593161776886986
"2019-20","Pre Season",2019-10-17,"11900069","ORL vs. MIA",TRUE,TRUE,1,720,"Nikola Vucevic","202696","ORL","Bam Adebayo","1628389","MIA","MIA","ORL","MIA","ORL","ORL",FALSE,TRUE,FALSE,TRUE,TRUE,"Home",0.469955155622742,0.497103524355043,0.507469704954607,0.507935384583799,0.475716365689217
