"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","win_tip_prob","win_tip_prob_opp","win_tip_prob_xtip","win_tip_prob_xtip_opp"
"2016-17","Pre Season",2016-10-06,"11600022","CHI @ IND",TRUE,TRUE,1,720,"Kevin Seraphin","202338","IND","Robin Lopez","201577","CHI","CHI","CHI","IND","CHI","IND",FALSE,FALSE,TRUE,FALSE,TRUE,"Home",0.354444099684694,0.645555900315306,0.29167366797435,0.70832633202565
"2016-17","Pre Season",2016-10-06,"11600023","MEM vs. ATL",TRUE,TRUE,1,720,"Marc Gasol","201188","MEM","Dwight Howard","2730","ATL","ATL","ATL","MEM","MEM","ATL",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.487290368906521,0.512709631093479,0.482319542786419,0.517680457213581
"2016-17","Pre Season",2016-10-06,"11600024","BKN vs. DET",TRUE,TRUE,1,720,"Brook Lopez","201572","BKN","Andre Drummond","203083","DET","DET","DET","DET","DET","DET",FALSE,FALSE,FALSE,FALSE,FALSE,"Home",0.440577707577797,0.559422292422203,0.426484302137638,0.573515697862362
"2016-17","Pre Season",2016-10-06,"11600025","CHA vs. BOS",TRUE,TRUE,1,720,"Roy Hibbert","201579","CHA","Amir Johnson","101161","BOS","BOS","CHA","CHA","BOS","BOS",FALSE,TRUE,TRUE,FALSE,FALSE,"Home",0.457166374247714,0.542833625752287,0.468474147512169,0.531525852487831
"2016-17","Pre Season",2016-10-06,"11600026","SAC @ GSW",TRUE,TRUE,1,720,"Zaza Pachulia","2585","GSW","Kosta Koufos","201585","SAC","SAC","SAC","SAC","GSW","GSW",FALSE,FALSE,FALSE,TRUE,TRUE,"Home",0.372414253598847,0.627585746401153,0.343200686804841,0.656799313195159
"2016-17","Pre Season",2016-10-07,"11600027","PHX @ POR",TRUE,TRUE,1,720,"Mason Plumlee","203486","POR","Alex Len","203458","PHX","POR","POR","PHX","PHX","POR",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.41835885900254,0.58164114099746,0.404463593080487,0.595536406919513
"2016-17","Pre Season",2016-10-07,"11600028","LAL vs. DEN",TRUE,TRUE,1,720,"Timofey Mozgov","202389","LAL","Jusuf Nurkic","203994","DEN","DEN","LAL","DEN","LAL","DEN",FALSE,TRUE,FALSE,TRUE,FALSE,"Home",0.510728015330305,0.489271984669695,0.505941800172763,0.494058199827237
"2016-17","Pre Season",2016-10-08,"11600029","BOS vs. CHA",TRUE,TRUE,1,720,"Tyler Zeller","203092","BOS","Roy Hibbert","201579","CHA","BOS","CHA","BOS","CHA","CHA",TRUE,FALSE,TRUE,FALSE,FALSE,"Home",0.440325589594419,0.559674410405581,0.433810781644784,0.566189218355216
"2016-17","Pre Season",2016-10-08,"11600030","CHI vs. IND",TRUE,TRUE,1,720,"Robin Lopez","201577","CHI","Myles Turner","1626167","IND","CHI","IND","IND","IND","CHI",TRUE,FALSE,FALSE,FALSE,TRUE,"Home",0.452030459411414,0.547969540588586,0.44174414004878,0.55825585995122
"2016-17","Pre Season",2016-10-08,"11600031","NYK vs. BKN",TRUE,TRUE,1,720,"Kristaps Porzingis","204001","NYK","Brook Lopez","201572","BKN","NYK","NYK","NYK","BKN","BKN",TRUE,TRUE,TRUE,FALSE,FALSE,"Home",0.339242609051327,0.660757390948672,0.245347492212599,0.754652507787401
