"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","final_win_prob_all"
"2013-14","Pre Season",2013-10-10,"11300029","LAL vs. SAC",TRUE,TRUE,1,720,"Pau Gasol","2200","LAL","DeMarcus Cousins","202326","SAC","LAL","LAL","SAC","SAC","SAC",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.635914336620524
"2013-14","Pre Season",2013-10-10,"11300030","MIA @ DET",TRUE,TRUE,1,720,"Andre Drummond","203083","DET","Chris Bosh","2547","MIA","MIA","DET","DET","DET","DET",FALSE,TRUE,TRUE,TRUE,TRUE,"Home",0.535965943434893
"2013-14","Pre Season",2013-10-10,"11300031","IND vs. HOU",TRUE,TRUE,1,720,"Roy Hibbert","201579","IND","Dwight Howard","2730","HOU","HOU","HOU","HOU","HOU","IND",FALSE,FALSE,FALSE,FALSE,TRUE,"Home",0.30558206042959
"2013-14","Pre Season",2013-10-11,"11300032","NYK @ TOR",TRUE,TRUE,1,720,"Jonas Valanciunas","202685","TOR","Tyson Chandler","2199","NYK","NYK","TOR","TOR","TOR","NYK",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.457310125672687
"2013-14","Pre Season",2013-10-11,"11300033","BOS @ PHI",TRUE,TRUE,1,720,"Spencer Hawes","201150","PHI","Kris Humphries","2743","BOS","BOS","BOS","PHI","BOS","BOS",FALSE,FALSE,TRUE,FALSE,FALSE,"Home",0.595266975263922
"2013-14","Pre Season",2013-10-11,"11300034","ORL vs. CLE",TRUE,TRUE,1,720,"Nikola Vucevic","202696","ORL","Tristan Thompson","202684","CLE","ORL","CLE","CLE","CLE","ORL",TRUE,FALSE,FALSE,FALSE,TRUE,"Home",0.573238779929254
"2013-14","Pre Season",2013-10-11,"11300035","UTA @ POR",TRUE,TRUE,1,720,"Robin Lopez","201577","POR","Jeremy Evans","202379","UTA","UTA","UTA","UTA","POR","UTA",FALSE,FALSE,FALSE,TRUE,FALSE,"Home",0.535890828053879
"2013-14","Pre Season",2013-10-11,"11300036","MIA vs. CHA",TRUE,TRUE,1,720,"Chris Bosh","2547","MIA","Cody Zeller","203469","CHA","MIA","CHA","MIA","MIA","MIA",TRUE,FALSE,TRUE,TRUE,TRUE,"Home",0.511530531778915
"2013-14","Pre Season",2013-10-12,"11300037","CHI @ WAS",TRUE,TRUE,1,720,"Jan Vesely","202686","WAS","Nazr Mohammed","1737","CHI","WAS","CHI","WAS","WAS","WAS",TRUE,FALSE,TRUE,TRUE,TRUE,"Home",0.484074652772381
"2013-14","Pre Season",2013-10-12,"11300038","MIN vs. TOR",TRUE,TRUE,1,720,"Nikola Pekovic","201593","MIN","Jonas Valanciunas","202685","TOR","TOR","TOR","MIN","MIN","TOR",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.482919098563806
"2013-14","Pre Season",2013-10-12,"11300039","LAC @ UTA",TRUE,TRUE,1,720,"Derrick Favors","202324","UTA","DeAndre Jordan","201599","LAC","LAC","UTA","UTA","UTA","UTA",FALSE,TRUE,TRUE,TRUE,TRUE,"Home",0.351058736380328
"2013-14","Pre Season",2013-10-12,"11300040","NYK @ BOS",TRUE,TRUE,1,720,"Jared Sullinger","203096","BOS","Andrea Bargnani","200745","NYK","NYK","BOS","BOS","BOS","NYK",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.331423448359936
"2013-14","Pre Season",2013-10-12,"11300041","BKN vs. DET",TRUE,TRUE,1,720,"Brook Lopez","201572","BKN","Andre Drummond","203083","DET","BKN","BKN","BKN","BKN","BKN",TRUE,TRUE,TRUE,TRUE,TRUE,"Home",0.521921421900449
"2013-14","Pre Season",2013-10-12,"11300042","MIL vs. CHA",TRUE,TRUE,1,720,"Larry Sanders","202336","MIL","Bismack Biyombo","202687","CHA","MIL","MIL","CHA","CHA","CHA",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.497155990896277
"2013-14","Pre Season",2013-10-13,"11300043","ATL @ NOP",TRUE,TRUE,1,720,"Anthony Davis","203076","NOP","Al Horford","201143","ATL","ATL","NOP","ATL","NOP","ATL",FALSE,TRUE,FALSE,TRUE,FALSE,"Home",0.540993799294772
"2013-14","Pre Season",2013-10-13,"11300044","IND @ HOU",TRUE,TRUE,1,720,"Dwight Howard","2730","HOU","Roy Hibbert","201579","IND","IND","IND","HOU","IND","IND",FALSE,FALSE,TRUE,FALSE,FALSE,"Home",0.636172787182431
"2013-14","Pre Season",2013-10-13,"11300045","SAS vs. PHX",TRUE,TRUE,1,720,"Tim Duncan","1495","SAS","Marcin Gortat","101162","PHX","PHX","SAS","PHX","PHX","PHX",FALSE,TRUE,FALSE,FALSE,FALSE,"Home",0.607326811462335
"2013-14","Pre Season",2013-10-14,"11300047","BKN @ PHI",TRUE,TRUE,1,720,"Spencer Hawes","201150","PHI","Brook Lopez","201572","BKN","PHI","BKN","PHI","BKN","PHI",TRUE,FALSE,TRUE,FALSE,TRUE,"Home",0.38148059342133
"2013-14","Pre Season",2013-10-14,"11300048","DEN vs. SAS",TRUE,TRUE,1,720,"JaVale McGee","201580","DEN","Tiago Splitter","201168","SAS","DEN","SAS","DEN","DEN","DEN",TRUE,FALSE,TRUE,TRUE,TRUE,"Home",0.588652272240903
"2013-14","Pre Season",2013-10-14,"11300049","LAC @ SAC",TRUE,TRUE,1,720,"Jason Thompson","201574","SAC","Byron Mullens","201957","LAC","SAC","LAC","LAC","SAC","SAC",TRUE,FALSE,FALSE,TRUE,TRUE,"Home",0.444495140399544
"2013-14","Pre Season",2013-10-14,"11300050","DAL vs. ORL",TRUE,TRUE,1,720,"Samuel Dalembert","2223","DAL","Kyle O'Quinn","203124","ORL","DAL","DAL","DAL","DAL","DAL",TRUE,TRUE,TRUE,TRUE,TRUE,"Home",0.575393299720581
"2013-14","Pre Season",2013-10-15,"11300051","WAS vs. MIA",TRUE,TRUE,1,720,"Kevin Seraphin","202338","WAS","Chris Bosh","2547","MIA","MIA","MIA","WAS","WAS","MIA",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.357126555163089
"2013-14","Pre Season",2013-10-15,"11300052","CLE vs. CHA",TRUE,TRUE,1,720,"Tristan Thompson","202684","CLE","Bismack Biyombo","202687","CHA","CHA","CHA","CHA","CHA","CLE",FALSE,FALSE,FALSE,FALSE,TRUE,"Home",0.448386413460166
"2013-14","Pre Season",2013-10-15,"11300053","MIL @ MEM",TRUE,TRUE,1,720,"Marc Gasol","201188","MEM","Larry Sanders","202336","MIL","MEM","MIL","MIL","MIL","MEM",TRUE,FALSE,FALSE,FALSE,TRUE,"Home",0.512761153011152
