"game_date","game","player","team","fpts_line","fpts_prob","br_line","br_prob","br_edge","br_kelly","br_units","bs_line","bs_prob","bs_edge","bs_kelly","bs_units","csr_line","csr_prob","csr_edge","csr_kelly","csr_units","dk_line","dk_prob","dk_edge","dk_kelly","dk_units","fd_line","fd_prob","fd_edge","fd_kelly","fd_units","mgm_line","mgm_prob","mgm_edge","mgm_kelly","mgm_units","pb_line","pb_prob","pb_edge","pb_kelly","pb_units","run_timestamp_utc"
2022-12-12,"CLE @ SAS","Donovan Mitchell","CLE",616,0.1396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,0.1887,-0.049,-0.0302,-3.0228,450,0.1818,-0.0422,-0.0258,-2.5782,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"CLE @ SAS","Jarrett Allen","CLE",646,0.1341,450,0.1818,-0.0477,-0.0292,-2.9168,450,0.1818,-0.0477,-0.0292,-2.9168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,0.1923,-0.0582,-0.036,-3.6041,500,0.1667,-0.0326,-0.0195,-1.9547,450,0.1818,-0.0477,-0.0292,-2.9168,2022-12-12 23:54:05
2022-12-12,"CLE @ SAS","Darius Garland","CLE",802,0.1109,500,0.1667,-0.0558,-0.0335,-3.3467,500,0.1667,-0.0558,-0.0335,-3.3467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,0.1176,-0.0068,-0.0038,-0.383,600,0.1429,-0.032,-0.0186,-1.8649,500,0.1667,-0.0558,-0.0335,-3.3467,2022-12-12 23:54:05
2022-12-12,"CLE @ SAS","Evan Mobley","CLE",811,0.1098,650,0.1333,-0.0235,-0.0136,-1.3569,650,0.1333,-0.0235,-0.0136,-1.3569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,0.1176,-0.0078,-0.0044,-0.4439,750,0.1176,-0.0078,-0.0044,-0.4439,550,0.1538,-0.044,-0.026,-2.6019,2022-12-12 23:54:05
2022-12-12,"CLE @ SAS","Lamar Stevens","CLE",1294,0.0717,1200,0.0769,-0.0052,-0.0028,-0.2808,1200,0.0769,-0.0052,-0.0028,-0.2808,850,0.1053,-0.0335,-0.0187,-1.8734,NA,NA,NA,NA,NA,1500,0.0625,0.0092,0.0049,0.4928,1400,0.0667,0.0051,0.0027,0.2717,1200,0.0769,-0.0052,-0.0028,-0.2808,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","Luka Doncic","DAL",493,0.1687,350,0.2222,-0.0535,-0.0344,-3.4402,350,0.2222,-0.0535,-0.0344,-3.4402,330,0.2326,-0.0639,-0.0416,-4.1599,400,0.2,-0.0313,-0.0196,-1.9558,340,0.2273,-0.0586,-0.0379,-3.7895,350,0.2222,-0.0535,-0.0344,-3.4402,350,0.2222,-0.0535,-0.0344,-3.4402,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","Dwight Powell","DAL",781,0.1135,1100,0.0833,0.0301,0.0164,1.6437,1100,0.0833,0.0301,0.0164,1.6437,800,0.1111,0.0024,0.0013,0.1326,1100,0.0833,0.0301,0.0164,1.6437,1100,0.0833,0.0301,0.0164,1.6437,800,0.1111,0.0024,0.0013,0.1326,1100,0.0833,0.0301,0.0164,1.6437,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","Tim Hardaway Jr.","DAL",785,0.113,450,0.1818,-0.0688,-0.0421,-4.2058,450,0.1818,-0.0688,-0.0421,-4.2058,525,0.16,-0.047,-0.028,-2.7979,475,0.1739,-0.0609,-0.0369,-3.6871,500,0.1667,-0.0537,-0.0322,-3.2203,650,0.1333,-0.0203,-0.0117,-1.1733,450,0.1818,-0.0688,-0.0421,-4.2058,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","Spencer Dinwiddie","DAL",955,0.0948,650,0.1333,-0.0385,-0.0222,-2.2233,650,0.1333,-0.0385,-0.0222,-2.2233,700,0.125,-0.0302,-0.0173,-1.7259,700,0.125,-0.0302,-0.0173,-1.7259,750,0.1176,-0.0229,-0.0129,-1.2949,750,0.1176,-0.0229,-0.0129,-1.2949,650,0.1333,-0.0385,-0.0222,-2.2233,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","Dorian Finney-Smith","DAL",1166,0.079,1500,0.0625,0.0165,0.0088,0.8792,1500,0.0625,0.0165,0.0088,0.8792,1500,0.0625,0.0165,0.0088,0.8792,1200,0.0769,0.0021,0.0011,0.1117,1500,0.0625,0.0165,0.0088,0.8792,1200,0.0769,0.0021,0.0011,0.1117,1400,0.0667,0.0123,0.0066,0.6599,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","Myles Turner","IND",863,0.1038,850,0.1053,-0.0015,-8e-04,-0.0818,850,0.1053,-0.0015,-8e-04,-0.0818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,0.1053,-0.0015,-8e-04,-0.0818,650,0.1333,-0.0295,-0.017,-1.7039,750,0.1176,-0.0138,-0.0078,-0.7847,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","Aaron Nesmith","IND",1019,0.0894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,0.1,-0.0106,-0.0059,-0.591,NA,NA,NA,NA,NA,1300,0.0714,0.0179,0.0097,0.9656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","Buddy Hield","IND",1083,0.0845,700,0.125,-0.0405,-0.0231,-2.3127,700,0.125,-0.0405,-0.0231,-2.3127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.1333,-0.0488,-0.0282,-2.8157,500,0.1667,-0.0821,-0.0493,-4.9283,800,0.1111,-0.0266,-0.015,-1.4953,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","Tyrese Haliburton","IND",1124,0.0817,900,0.1,-0.0183,-0.0102,-1.0154,900,0.1,-0.0183,-0.0102,-1.0154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,0.1053,-0.0235,-0.0132,-1.3155,900,0.1,-0.0183,-0.0102,-1.0154,900,0.1,-0.0183,-0.0102,-1.0154,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","Andrew Nembhard","IND",1538,0.0611,1500,0.0625,-0.0014,-8e-04,-0.0766,1500,0.0625,-0.0014,-8e-04,-0.0766,1000,0.0909,-0.0298,-0.0164,-1.6415,NA,NA,NA,NA,NA,1500,0.0625,-0.0014,-8e-04,-0.0766,1400,0.0667,-0.0056,-0.003,-0.3001,1400,0.0667,-0.0056,-0.003,-0.3001,2022-12-12 23:54:05
2022-12-12,"BOS @ LAC","Kawhi Leonard","LAC",868,0.1033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,0.16,-0.0567,-0.0338,-3.3758,500,0.1667,-0.0634,-0.038,-3.8028,800,0.1111,-0.0078,-0.0044,-0.4401,650,0.1333,-0.03,-0.0173,-1.7334,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"BOS @ LAC","Marcus Morris Sr.","LAC",872,0.1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,0.1176,-0.0148,-0.0084,-0.8367,700,0.125,-0.0221,-0.0126,-1.2639,1000,0.0909,0.012,0.0066,0.6585,750,0.1176,-0.0148,-0.0084,-0.8367,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"BOS @ LAC","Paul George","LAC",902,0.0998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,0.1481,-0.0483,-0.0284,-2.8356,550,0.1538,-0.054,-0.0319,-3.1914,650,0.1333,-0.0335,-0.0193,-1.9324,650,0.1333,-0.0335,-0.0193,-1.9324,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"BOS @ LAC","Ivica Zubac","LAC",936,0.0965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,0.1,-0.0035,-0.0019,-0.1929,850,0.1053,-0.0087,-0.0049,-0.4882,800,0.1111,-0.0146,-0.0082,-0.8203,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"BOS @ LAC","Reggie Jackson","LAC",1193,0.0774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,0.0952,-0.0179,-0.0099,-0.988,900,0.1,-0.0226,-0.0126,-1.2578,1300,0.0714,0.0059,0.0032,0.3194,1200,0.0769,4e-04,2e-04,0.0236,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"ATL @ MEM","Ja Morant","MEM",768,0.1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,0.1754,-0.0603,-0.0365,-3.6541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"ATL @ MEM","Dillon Brooks","MEM",776,0.1142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,0.16,-0.0458,-0.0273,-2.7278,NA,NA,NA,NA,NA,450,0.1818,-0.0676,-0.0413,-4.1339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
