"game","play","note"
"MIA @ IND","1Q IND : +145 DK ",NA
"BKN @ WAS","1Q BKN : +130 DK ",NA
"ATL @ MEM","1Q ATL : +190 DK ","Clint Capela: Toss Up To Play"
"OKC @ DAL","1Q OKC : +140 DK ",NA
"CLE @ SAS","1Q SAS : +145 DK ",NA
"MIN @ POR","1Q POR : +125 DK ",NA
"BOS @ LAC","1Q LAC : +135 DK ","Ivica Zubac: Toss Up To Play"
