LEAGUE_ID,TEAM_ID,MIN_YEAR,MAX_YEAR,ABBREVIATION
00,1610612737,1949,2022,ATL
00,1610612738,1946,2022,BOS
00,1610612739,1970,2022,CLE
00,1610612740,2002,2022,NOP
00,1610612741,1966,2022,CHI
00,1610612742,1980,2022,DAL
00,1610612743,1976,2022,DEN
00,1610612744,1946,2022,GSW
00,1610612745,1967,2022,HOU
00,1610612746,1970,2022,LAC
00,1610612747,1948,2022,LAL
00,1610612748,1988,2022,MIA
00,1610612749,1968,2022,MIL
00,1610612750,1989,2022,MIN
00,1610612751,1976,2022,BKN
00,1610612752,1946,2022,NYK
00,1610612753,1989,2022,ORL
00,1610612754,1976,2022,IND
00,1610612755,1949,2022,PHI
00,1610612756,1968,2022,PHX
00,1610612757,1970,2022,POR
00,1610612758,1948,2022,SAC
00,1610612759,1976,2022,SAS
00,1610612760,1967,2022,OKC
00,1610612761,1995,2022,TOR
00,1610612762,1974,2022,UTA
00,1610612763,1995,2022,MEM
00,1610612764,1961,2022,WAS
00,1610612765,1948,2022,DET
00,1610612766,1988,2022,CHA
00,1610610030,1949,1952,
00,1610610031,1946,1946,
00,1610610032,1946,1948,
00,1610610033,1949,1949,
00,1610610034,1946,1949,
00,1610610035,1946,1946,
00,1610610036,1946,1950,
00,1610610037,1949,1949,
00,1610610023,1949,1949,
00,1610610024,1947,1954,
00,1610610029,1948,1948,
00,1610610028,1946,1946,
00,1610610027,1949,1949,
00,1610610026,1946,1946,
00,1610610025,1946,1949,
