"game","play","note"
"MIA @ IND","Andrew Nembhard : +650 MGM ",NA
"MIA @ IND","Myles Turner : +350 MGM ",NA
"BKN @ WAS","Ben Simmons : +550 MGM ",NA
"BKN @ WAS","Joe Harris : +850 MGM ",NA
"ATL @ MEM","No Plays","Clint Capela: Toss Up To Play"
"OKC @ DAL","No Plays",NA
"CLE @ SAS","Jeremy Sochan : +550 MGM ",NA
"MIN @ POR","D'Angelo Russell : +400 MGM ",NA
"MIN @ POR","Jaden McDaniels : +550 MGM ",NA
"MIN @ POR","Josh Hart : +650 MGM ",NA
"BOS @ LAC","No Plays","Ivica Zubac: Toss Up To Play"
