"player_id","player_name","pts_rollsum_10","pts_rollsum_25","pts_rollsum_50","pts_rollsum_100","start_rollsum_10","start_rollsum_25","start_rollsum_50","start_rollsum_100","start_rollmean_10","start_rollmean_25","start_rollmean_50","start_rollmean_100","fgpct_10","fgpct_25","fgpct_50","fgpct_100","ftpct_10","ftpct_25","ftpct_50","ftpct_100","usg_10","usg_25","usg_50","usg_100","took_team_first_shot_rollmean_10","took_team_first_shot_rollmean_25","took_team_first_shot_rollmean_50","took_team_first_shot_rollmean_100","made_team_first_basket_rollmean_10","made_team_first_basket_rollmean_25","made_team_first_basket_rollmean_50","made_team_first_basket_rollmean_100","made_team_first_fgm_rollmean_10","made_team_first_fgm_rollmean_25","made_team_first_fgm_rollmean_50","made_team_first_fgm_rollmean_100","made_first_basket_rollmean_10","made_first_basket_rollmean_25","made_first_basket_rollmean_50","made_first_basket_rollmean_100","made_first_fgm_rollmean_10","made_first_fgm_rollmean_25","made_first_fgm_rollmean_50","made_first_fgm_rollmean_100"
"1630526","Jeremiah Robinson-Earl",89,215,419,581,8,18,37,54,0.8,0.72,0.74,0.72972972972973,0.432098765432099,0.485380116959064,0.446685878962536,0.438383838383838,0.888888888888889,0.769230769230769,0.779661016949153,0.75,0.14624608157047,0.154860139422223,0.157611371307082,0.154446980479965,0.2,0.2,0.24,0.240740740740741,0.2,0.24,0.16,0.185185185185185,0.2,0.24,0.16,0.185185185185185,0.2,0.12,0.06,0.0740740740740741,0.2,0.12,0.06,0.0740740740740741
"1630527","Brandon Boston Jr.",69,146,359,394,0,0,0,0,0,0,0,0,0.448275862068966,0.436507936507937,0.391044776119403,0.388586956521739,0.692307692307692,0.730769230769231,0.805555555555556,0.814814814814815,0.237612292439047,0.235031119341914,0.229177533546986,0.227013004223673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630528","Josh Christopher",28,143,334,639,0,0,0,2,0,0,0,0.0217391304347826,0.5,0.462809917355372,0.429042904290429,0.447272727272727,1,0.65625,0.71875,0.739495798319328,0.225672514961862,0.219685112798194,0.21649626599314,0.212001843285308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1630529","Herbert Jones",102,263,497,997,9,24,49,91,0.9,0.96,0.98,0.91,0.428571428571429,0.457286432160804,0.445012787723785,0.471895424836601,0.72,0.756410256410256,0.786764705882353,0.813278008298755,0.176390005975815,0.145853641407404,0.145145975341646,0.141139467568803,0.6,0.24,0.18,0.172043010752688,0.6,0.24,0.16,0.172043010752688,0.6,0.24,0.16,0.172043010752688,0.4,0.16,0.08,0.0645161290322581,0.4,0.16,0.08,0.0645161290322581
"1630530","Trey Murphy III",147,321,524,690,9,14,15,15,0.9,0.56,0.3,0.159574468085106,0.475728155339806,0.473684210526316,0.461741424802111,0.427495291902072,0.92,0.936170212765957,0.922077922077922,0.904761904761905,0.182812248600177,0.162791787253432,0.157384170406271,0.153943850962513,0,0.133333333333333,0.133333333333333,0.133333333333333,0.2,0.133333333333333,0.133333333333333,0.133333333333333,0.3,0.2,0.2,0.2,0,0,0,0,0,0,0,0
"1630531","Jaden Springer",13,13,13,13,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.239798926366091,0.239798926366091,0.239798926366091,0.239798926366091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630532","Franz Wagner",206,508,866,1654,10,25,50,100,1,1,1,1,0.5,0.502747252747253,0.490825688073394,0.475095785440613,0.867924528301887,0.862903225806452,0.87431693989071,0.866863905325444,0.256822639967737,0.25528346705463,0.236848657146766,0.227663675332889,0.3,0.2,0.14,0.21,0.1,0.24,0.16,0.18,0.1,0.2,0.14,0.17,0.1,0.12,0.06,0.08,0.1,0.12,0.06,0.07
"1630533","Ziaire Williams",58,200,429,576,1,5,29,32,0.1,0.2,0.58,0.432432432432432,0.381818181818182,0.426829268292683,0.461095100864553,0.444672131147541,0.857142857142857,0.833333333333333,0.810344827586207,0.808823529411765,0.147458763103586,0.164686623789748,0.149831932188244,0.149189699656975,0.2,0.12,0.125,0.125,0.2,0.2,0.21875,0.21875,0.2,0.2,0.21875,0.21875,0.2,0.2,0.1875,0.1875,0.2,0.2,0.1875,0.1875
"1630534","Ochai Agbaji",36,36,36,36,0,0,0,0,0,0,0,0,0.451612903225806,0.451612903225806,0.451612903225806,0.451612903225806,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.139691733154632,0.138229424829534,0.138229424829534,0.138229424829534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630535","Greg Brown III",27,132,230,242,2,6,6,6,0.2,0.24,0.12,0.109090909090909,0.366666666666667,0.419642857142857,0.429319371727749,0.429268292682927,0.25,0.621621621621622,0.657142857142857,0.63013698630137,0.165888843710659,0.160167337652252,0.169200790312571,0.173372584980236,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
