"season","game_date","game_id","matchup","jumper","person_id","team_abbrev","opp_jumper","opp_person_id","opp_team_abbrev","home_team","won_tip","win_tip_prob","win_tip_prob_glmnet","win_tip_prob_earth","model","win_tip_prob_xtip"
"2016-17",2016-10-04,"11600016","LAC @ GSW","DeAndre Jordan","201599","LAC","Zaza Pachulia","2585","GSW",FALSE,TRUE,0.716935669335609,0.744375348954942,0.754219357682076,"jumps_opp_jumps",0.749297353318509
"2016-17",2016-10-05,"11600018","UTA @ PHX","Rudy Gobert","203497","UTA","Alex Len","203458","PHX",FALSE,TRUE,0.476377035103933,0.464631428531575,0.447441991549489,"jumps_opp_jumps",0.456036710040532
"2016-17",2016-10-05,"11600017","CLE vs. ORL","Chris Andersen","2365","CLE","Bismack Biyombo","202687","ORL",TRUE,FALSE,0.372563114982732,0.335137676525687,0.248414982546119,"jumps_opp_jumps",0.291776329535903
"2016-17",2016-10-05,"11600017","CLE vs. ORL","Bismack Biyombo","202687","ORL","Chris Andersen","2365","CLE",FALSE,TRUE,0.627436885017268,0.664862410189395,0.751820000284001,"jumps_opp_jumps",0.708341205236698
"2016-17",2016-10-05,"11600019","LAC vs. TOR","Jonas Valanciunas","202685","TOR","DeAndre Jordan","201599","LAC",FALSE,FALSE,0.314879376853283,0.282765158403087,0.286079932649703,"jumps_opp_jumps",0.284422545526395
"2016-17",2016-10-05,"11600019","LAC vs. TOR","DeAndre Jordan","201599","LAC","Jonas Valanciunas","202685","TOR",TRUE,TRUE,0.685120623146717,0.717235050603228,0.71430098785811,"jumps_opp_jumps",0.715768019230669
"2016-17",2016-10-05,"11600018","UTA @ PHX","Alex Len","203458","PHX","Rudy Gobert","203497","UTA",TRUE,FALSE,0.523622964896067,0.53536848668762,0.553003399269229,"jumps_opp_jumps",0.544185942978424
"2016-17",2016-10-06,"11600025","CHA vs. BOS","Roy Hibbert","201579","CHA","Amir Johnson","101161","BOS",TRUE,FALSE,0.457166374247713,0.461356159483984,0.475754711733987,"jumps_opp_jumps",0.468555435608986
"2016-17",2016-10-06,"11600024","BKN vs. DET","Brook Lopez","201572","BKN","Andre Drummond","203083","DET",TRUE,FALSE,0.440577707577797,0.421645201998764,0.43160220184843,"jumps_opp_jumps",0.426623701923597
"2016-17",2016-10-06,"11600024","BKN vs. DET","Andre Drummond","203083","DET","Brook Lopez","201572","BKN",FALSE,TRUE,0.559422292422203,0.578355559737081,0.569050752321611,"jumps_opp_jumps",0.573703156029346
"2016-17",2016-10-06,"11600023","MEM vs. ATL","Marc Gasol","201188","MEM","Dwight Howard","2730","ATL",TRUE,FALSE,0.487290368906521,0.483173513320611,0.481744766701084,"jumps_opp_jumps",0.482459140010847
"2016-17",2016-10-06,"11600021","WAS @ PHI","Marcin Gortat","101162","WAS","Joel Embiid","203954","PHI",FALSE,TRUE,0.637245783067306,0.680364228728635,0.828397030102626,"jumps_opp_jumps",0.754380629415631
"2016-17",2016-10-06,"11600022","CHI @ IND","Robin Lopez","201577","CHI","Kevin Seraphin","202338","IND",FALSE,TRUE,0.645555900315306,0.656376910079068,0.760235949340038,"jumps_opp_jumps",0.708306429709553
