"player","team_abbrev","starts","shots","percentage"
"Robert Franks","ADL",2,0,0
"Robin Lopez","CLE",1,1,1
"Rodney McGruder","DET",2,0,0
"Rom Geffen","MRA",2,0,0
"Romeo Langford","SAS",4,0,0
"Royce O'Neale","BKN",30,6,0.2
"Rudy Gobert","MIN",26,8,0.307692307692308
"Rui Hachimura","WAS",2,0,0
"Russell Westbrook","LAL",6,1,0.166666666666667
"Saddiq Bey","DET",21,6,0.285714285714286
"Sam Hauser","BOS",1,0,0
"Sandro Mamukelashvili","MIL",1,0,0
"Santi Aldama","MEM",21,3,0.142857142857143
"Scottie Barnes","TOR",28,4,0.142857142857143
"Scotty Pippen Jr.","LAL",1,0,0
"Shaedon Sharpe","POR",5,1,0.2
"Shai Gilgeous-Alexander","OKC",24,7,0.291666666666667
"Shake Milton","PHI",8,1,0.125
"Spencer Dinwiddie","DAL",28,1,0.0357142857142857
"Stephen Curry","GSW",28,4,0.142857142857143
"Steven Adams","MEM",28,6,0.214285714285714
"Sunday Dech","ADL",1,0,0
"T.J. McConnell","IND",2,1,0.5
"Talen Horton-Tucker","UTA",1,1,1
"Terance Mann","LAC",13,4,0.307692307692308
"Terence Davis","SAC",1,0,0
"Terrence Jones","MRA",1,0,0
"Terrence Ross","ORL",11,0,0
"Terry Rozier","CHA",24,3,0.125
"Terry Taylor","IND",2,0,0
"Thaddeus Young","TOR",8,0,0
"Theo Maledon","CHA",1,0,0
"Thomas Bryant","LAL",3,0,0
"Tim Hardaway Jr.","DAL",8,4,0.5
"Tobias Harris","PHI",28,6,0.214285714285714
"Torrey Craig","PHX",18,3,0.166666666666667
"Trae Young","ATL",29,9,0.310344827586207
"Tre Jones","SAS",30,3,0.1
"Tre Mann","OKC",8,0,0
"Trendon Watford","POR",3,1,0.333333333333333
"Trent Forrest","ATL",1,0,0
"Trey Lyles","SAC",1,0,0
"Trey Murphy III","NOP",18,3,0.166666666666667
"Troy Brown Jr.","LAL",16,3,0.1875
"Ty Jerome","GSW",1,0,0
"Tyler Herro","MIA",21,4,0.19047619047619
"Tyrese Haliburton","IND",27,1,0.037037037037037
"Tyrese Maxey","PHI",19,5,0.263157894736842
"Tyus Jones","MEM",4,0,0
"Usman Garuba","HOU",1,0,0
"Victor Oladipo","MIA",1,0,0
"Walker Kessler","UTA",2,0,0
"Wendell Carter Jr.","ORL",20,7,0.35
"Wendell Moore Jr.","MIN",2,0,0
"Wenyen Gabriel","LAL",4,0,0
"Will Barton","WAS",3,0,0
"Willy Hernangomez","NOP",1,0,0
"Willy Workman","MRA",3,0,0
"Zach Collins","SAS",6,2,0.333333333333333
"Zach LaVine","CHI",25,5,0.2
"Ziaire Williams","MEM",1,1,1
"Zion Williamson","NOP",24,4,0.166666666666667
