"game","play","note"
"MIL @ ORL","Goga Bitadze ",NA
"MIL @ ORL","Markelle Fultz ",NA
"TOR @ BOS","Derrick White ",NA
"TOR @ BOS","Jakob Poeltl ",NA
"TOR @ BOS","Pascal Siakam ",NA
"TOR @ BOS","Scottie Barnes ",NA
"MIA @ ATL","Clint Capela ",NA
"MIA @ ATL","Haywood Highsmith ",NA
"MIA @ ATL","Jalen Johnson ",NA
"CLE @ GSW","Evan Mobley ",NA
"CLE @ GSW","Kevon Looney ",NA
