"game","play","note"
"MIL @ ORL","Goga Bitadze Two Point ",NA
"TOR @ BOS","Kristaps Porzingis Layup ",NA
"MIA @ ATL","Haywood Highsmith Two Point ",NA
"CLE @ GSW","No Plays",NA
