"game","play","note"
"MIL @ ORL","Goga Bitadze ",NA
"MIL @ ORL","Markelle Fultz ",NA
"TOR @ BOS","Jakob Poeltl ",NA
"TOR @ BOS","Jrue Holiday ",NA
"TOR @ BOS","Scottie Barnes ",NA
"MIA @ ATL","Haywood Highsmith ",NA
"CLE @ GSW","Darius Garland ",NA
