GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021400051,1610612764,WAS,Washington,2403,Nene,ene,F,,23:53,3.0,10.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,7.0,2.0,2.0,1.0,2.0,3.0,6.0,8.0
0021400051,1610612764,WAS,Washington,1718,Paul Pierce,Paul,F,,27:57,5.0,10.0,0.5,3.0,5.0,0.6,4.0,5.0,0.8,0.0,5.0,5.0,3.0,2.0,2.0,0.0,3.0,17.0,14.0
0021400051,1610612764,WAS,Washington,101162,Marcin Gortat,Marcin,C,,21:37,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,0.0,0.0,2.0,4.0,6.0,3.0
0021400051,1610612764,WAS,Washington,202066,Garrett Temple,Garrett,G,,30:18,5.0,10.0,0.5,4.0,7.0,0.571,3.0,4.0,0.75,1.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,17.0,20.0
0021400051,1610612764,WAS,Washington,202322,John Wall,John,G,,30:20,5.0,11.0,0.455,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,1.0,7.0,2.0,0.0,3.0,1.0,11.0,10.0
0021400051,1610612764,WAS,Washington,2400,Drew Gooden,Drew,,,22:01,4.0,6.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,10.0,7.0
0021400051,1610612764,WAS,Washington,203490,Otto Porter Jr.,Otto,,,28:12,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0
0021400051,1610612764,WAS,Washington,202338,Kevin Seraphin,Kevin,,,22:07,6.0,7.0,0.857,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,15.0,7.0
0021400051,1610612764,WAS,Washington,1889,Andre Miller,Andre,,,16:45,6.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,12.0,1.0
0021400051,1610612764,WAS,Washington,203318,Glen Rice,Glen,,,15:18,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,-1.0
0021400051,1610612764,WAS,Washington,201971,DeJuan Blair,DeJuan,,,1:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
0021400051,1610612764,WAS,Washington,2446,Rasual Butler,Rasual,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0021400051,1610612764,WAS,Washington,2743,Kris Humphries,Kris,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0021400051,1610612752,NYK,New York,2546,Carmelo Anthony,Carmelo,F,,36:51,8.0,23.0,0.348,1.0,2.0,0.5,1.0,2.0,0.5,4.0,2.0,6.0,3.0,1.0,0.0,7.0,2.0,18.0,-7.0
0021400051,1610612752,NYK,New York,2405,Amar'e Stoudemire,Amar'e,F,,28:27,3.0,7.0,0.429,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,12.0,2.0,2.0,0.0,3.0,3.0,6.0,-2.0
0021400051,1610612752,NYK,New York,2223,Samuel Dalembert,Samuel,C,,20:12,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,3.0,0.0,2.0,2.0,2.0,2.0,-12.0
0021400051,1610612752,NYK,New York,203499,Shane Larkin,Shane,G,,26:00,2.0,5.0,0.4,0.0,1.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,6.0,-5.0
0021400051,1610612752,NYK,New York,202697,Iman Shumpert,Iman,G,,30:50,6.0,11.0,0.545,4.0,4.0,1.0,3.0,4.0,0.75,0.0,4.0,4.0,0.0,0.0,1.0,2.0,2.0,19.0,-6.0
0021400051,1610612752,NYK,New York,201160,Jason Smith,Jason,,,22:54,3.0,7.0,0.429,0.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,9.0,-10.0
0021400051,1610612752,NYK,New York,202332,Cole Aldrich,Cole,,,14:31,1.0,6.0,0.167,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,4.0,4.0,-5.0
0021400051,1610612752,NYK,New York,2747,JR Smith,JR,,,24:27,2.0,6.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,6.0,-8.0
0021400051,1610612752,NYK,New York,203143,Pablo Prigioni,Pablo,,,21:59,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,-10.0
0021400051,1610612752,NYK,New York,203501,Tim Hardaway Jr.,Tim,,,11:09,2.0,7.0,0.286,1.0,3.0,0.333,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-8.0
