GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021400970,1610612748,MIA,Miami,2736,Luol Deng,Luol,F,,34:40,3.0,11.0,0.273,0.0,3.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,3.0,1.0,0.0,2.0,2.0,8.0,2.0
0021400970,1610612748,MIA,Miami,201611,Henry Walker,Henry,F,,22:26,3.0,12.0,0.25,2.0,9.0,0.222,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,3.0,8.0,-13.0
0021400970,1610612748,MIA,Miami,202355,Hassan Whiteside,Hassan,C,,24:28,4.0,6.0,0.667,0.0,0.0,0.0,1.0,4.0,0.25,2.0,10.0,12.0,0.0,1.0,3.0,3.0,3.0,9.0,-16.0
0021400970,1610612748,MIA,Miami,2548,Dwyane Wade,Dwyane,G,,32:46,9.0,13.0,0.692,1.0,2.0,0.5,6.0,8.0,0.75,0.0,3.0,3.0,4.0,1.0,1.0,5.0,1.0,25.0,-8.0
0021400970,1610612748,MIA,Miami,201609,Goran Dragic,Goran,G,,38:43,8.0,17.0,0.471,0.0,4.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,5.0,2.0,0.0,2.0,2.0,18.0,0.0
0021400970,1610612748,MIA,Miami,201563,Michael Beasley,Michael,,,25:34,4.0,10.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,2.0,7.0,9.0,1.0,1.0,0.0,2.0,4.0,11.0,3.0
0021400970,1610612748,MIA,Miami,201596,Mario Chalmers,Mario,,,30:14,3.0,5.0,0.6,1.0,1.0,1.0,1.0,2.0,0.5,0.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,8.0,-2.0
0021400970,1610612748,MIA,Miami,2365,Chris Andersen,Chris,,,18:41,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,1.0,1.0,1.0,2.0,-5.0
0021400970,1610612748,MIA,Miami,204020,Tyler Johnson,Tyler,,,12:28,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,-11.0
0021400970,1610612748,MIA,Miami,203516,James Ennis III,James,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0021400970,1610612748,MIA,Miami,2617,Udonis Haslem,Udonis,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0021400970,1610612748,MIA,Miami,203894,Shabazz Napier,Shabazz,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0021400970,1610612761,TOR,Toronto,203082,Terrence Ross,Terrence,F,,20:20,3.0,8.0,0.375,3.0,7.0,0.429,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,8.0
0021400970,1610612761,TOR,Toronto,101161,Amir Johnson,Amir,F,,25:28,5.0,8.0,0.625,0.0,0.0,0.0,3.0,5.0,0.6,0.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,13.0,6.0
0021400970,1610612761,TOR,Toronto,201946,Tyler Hansbrough,Tyler,C,,26:39,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0
0021400970,1610612761,TOR,Toronto,201942,DeMar DeRozan,DeMar,G,,38:03,3.0,12.0,0.25,0.0,1.0,0.0,12.0,13.0,0.923,3.0,3.0,6.0,6.0,0.0,0.0,3.0,4.0,18.0,6.0
0021400970,1610612761,TOR,Toronto,200768,Kyle Lowry,Kyle,G,,37:03,7.0,12.0,0.583,5.0,8.0,0.625,0.0,0.0,0.0,1.0,7.0,8.0,8.0,7.0,1.0,4.0,3.0,19.0,19.0
0021400970,1610612761,TOR,Toronto,202335,Patrick Patterson,Patrick,,,22:20,3.0,7.0,0.429,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,2.0,4.0,6.0,14.0
0021400970,1610612761,TOR,Toronto,201949,James Johnson,James,,,12:34,3.0,5.0,0.6,0.0,0.0,0.0,1.0,3.0,0.333,0.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,7.0,-4.0
0021400970,1610612761,TOR,Toronto,202349,Greivis Vasquez,Greivis,,,25:45,5.0,11.0,0.455,2.0,6.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,12.0,-16.0
0021400970,1610612761,TOR,Toronto,101150,Lou Williams,Lou,,,22:49,4.0,12.0,0.333,2.0,8.0,0.25,4.0,6.0,0.667,3.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,14.0,13.0
0021400970,1610612761,TOR,Toronto,101236,Chuck Hayes,Chuck,,,8:59,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0
0021400970,1610612761,TOR,Toronto,203998,Bruno Caboclo,Bruno,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
