GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021300841,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,15:40,4.0,6.0,0.667,2.0,3.0,0.667,5.0,6.0,0.833,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,15.0,3.0
0021300841,1610612749,MIL,Milwaukee,101141,Ersan Ilyasova,Ersan,F,,24:42,7.0,9.0,0.778,0.0,1.0,0.0,6.0,6.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,2.0,20.0,7.0
0021300841,1610612749,MIL,Milwaukee,2585,Zaza Pachulia,Zaza,C,,18:13,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,2.0,2.0,0.0,1.0,1.0,2.0,13.0
0021300841,1610612749,MIL,Milwaukee,203489,Nate Wolters,Nate,G,,14:38,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,6.0,9.0
0021300841,1610612749,MIL,Milwaukee,202688,Brandon Knight,Brandon,G,,20:42,5.0,10.0,0.5,1.0,2.0,0.5,4.0,6.0,0.667,1.0,4.0,5.0,4.0,0.0,0.0,2.0,2.0,15.0,4.0
0021300841,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,,,29:04,5.0,8.0,0.625,1.0,2.0,0.5,2.0,2.0,1.0,4.0,2.0,6.0,4.0,0.0,4.0,5.0,4.0,13.0,12.0
0021300841,1610612749,MIL,Milwaukee,201564,O.J. Mayo,O.J.,,,34:45,8.0,14.0,0.571,7.0,9.0,0.778,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,25.0,11.0
0021300841,1610612749,MIL,Milwaukee,203089,John Henson,John,,,25:59,6.0,9.0,0.667,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,5.0,4.0,0.0,0.0,1.0,2.0,12.0,17.0
0021300841,1610612749,MIL,Milwaukee,201196,Ramon Sessions,Ramon,,,28:24,6.0,11.0,0.545,1.0,1.0,1.0,3.0,4.0,0.75,2.0,2.0,4.0,5.0,0.0,0.0,4.0,0.0,16.0,19.0
0021300841,1610612749,MIL,Milwaukee,202399,Jeff Adrien,Jeff,,,24:07,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,2.0,1.0,1.0,2.0,2.0,6.0,15.0
0021300841,1610612749,MIL,Milwaukee,203545,Miroslav Raduljica,Miroslav,,,3:48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,-10.0
0021300841,1610612749,MIL,Milwaukee,2406,Caron Butler,Caron,,DND - Left Ankle Pain,,,,,,,,,,,,,,,,,,,,
0021300841,1610612749,MIL,Milwaukee,202327,Ekpe Udoh,Ekpe,,NWT - Right Knee Swelling,,,,,,,,,,,,,,,,,,,,
0021300841,1610612755,PHI,Philadelphia,202341,James Anderson,James,F,,26:11,5.0,11.0,0.455,3.0,7.0,0.429,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,2.0,2.0,13.0,0.0
0021300841,1610612755,PHI,Philadelphia,201152,Thaddeus Young,Thaddeus,F,,34:06,11.0,19.0,0.579,3.0,7.0,0.429,3.0,4.0,0.75,1.0,4.0,5.0,7.0,6.0,0.0,2.0,1.0,28.0,-3.0
0021300841,1610612755,PHI,Philadelphia,203102,Arnett Moultrie,Arnett,C,,28:17,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,4.0,4.0,8.0,0.0,1.0,1.0,0.0,3.0,6.0,-14.0
0021300841,1610612755,PHI,Philadelphia,203100,Tony Wroten,Tony,G,,29:41,9.0,15.0,0.6,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,5.0,1.0,0.0,2.0,3.0,19.0,-10.0
0021300841,1610612755,PHI,Philadelphia,203487,Michael Carter-Williams,Michael,G,,33:58,7.0,11.0,0.636,0.0,2.0,0.0,6.0,9.0,0.667,2.0,0.0,2.0,3.0,2.0,1.0,5.0,4.0,20.0,6.0
0021300841,1610612755,PHI,Philadelphia,203156,Henry Sims,Henry,,,19:54,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,-15.0
0021300841,1610612755,PHI,Philadelphia,202343,Elliot Williams,Elliot,,,16:47,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,-9.0
0021300841,1610612755,PHI,Philadelphia,203138,Hollis Thompson,Hollis,,,21:44,3.0,7.0,0.429,1.0,2.0,0.5,1.0,3.0,0.333,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,8.0,-18.0
0021300841,1610612755,PHI,Philadelphia,201953,Eric Maynor,Eric,,,15:39,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,-29.0
