TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,SEASON_YEAR
16052.0,1627783,Pascal,Siakam,Pascal Siakam,PF,80.25,6' 8.25'',81.5,6' 9.5'',226.6,87.25,7' 3.25'',107.5,8' 11.5'',5.2,9.25,10.0,2016-17
16053.0,1627754,Diamond,Stone,Diamond Stone,C,81.0,6' 9'',82.25,6' 10.25'',254.4,86.75,7' 2.75'',108.5,9' 0.5'',12.85,8.5,7.75,2016-17
16056.0,1627755,Tyler,Ulis,Tyler Ulis,PG,68.75,5' 8.75'',70.0,5' 10'',149.2,74.0,6' 2'',88.5,7' 4.5'',5.2,7.5,7.5,2016-17
16057.0,1627784,Jarrod,Uthoff,Jarrod Uthoff,PF,80.5,6' 8.5'',81.75,6' 9.75'',214.4,83.5,6' 11.5'',104.0,8' 8'',6.0,8.75,9.0,2016-17
16058.0,1627756,Denzel,Valentine,Denzel Valentine,SG-SF,76.0,6' 4'',77.75,6' 5.75'',210.4,82.75,6' 10.75'',102.0,8' 6'',9.2,8.5,9.75,2016-17
16059.0,1627785,Isaiah,Whitehead,Isaiah Whitehead,PG-SG,75.25,6' 3.25'',76.5,6' 4.5'',210.0,80.75,6' 8.75'',100.0,8' 4'',9.25,8.5,8.75,2016-17
16060.0,1627786,Troy,Williams,Troy Williams,SF,77.75,6' 5.75'',78.75,6' 6.75'',217.8,80.25,6' 8.25'',102.0,8' 6'',10.0,8.25,9.25,2016-17
16061.0,1627787,Kyle,Wiltjer,Kyle Wiltjer,PF,80.75,6' 8.75'',82.0,6' 10'',242.8,84.25,7' 0.25'',102.5,8' 6.5'',15.25,8.25,9.5,2016-17
16062.0,1627757,Stephen,Zimmerman,Stephen Zimmerman,C,82.25,6' 10.25'',83.75,6' 11.75'',234.0,87.25,7' 3.25'',108.5,9' 0.5'',11.15,9.0,9.0,2016-17
14000.0,203919,Jordan,Adams,Jordan Adams,SG,75.5,6' 3.5'',76.75,6' 4.75'',208.8,82.0,6' 10'',102.0,8' 6'',10.8,8.5,7.5,2014-15
14001.0,203937,Kyle,Anderson,Kyle Anderson,SF,79.5,6' 7.5'',80.5,6' 8.5'',230.1,86.75,7' 2.75'',107.5,8' 11.5'',13.35,8.25,8.75,2014-15
14002.0,203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,SF,77.25,6' 5.25'',78.25,6' 6.25'',205.2,84.0,7' 0'',104.5,8' 8.5'',6.05,9.0,9.75,2014-15
14004.0,203947,Jordan,Bachynski,Jordan Bachynski,PF,85.25,7' 1.25'',86.0,7' 2'',254.1,88.0,7' 4'',108.5,9' 0.5'',7.45,9.25,10.0,2014-15
14005.0,203946,Cameron,Bairstow,Cameron Bairstow,PF,80.75,6' 8.75'',81.75,6' 9.75'',252.4,84.75,7' 0.75'',107.0,8' 11'',8.7,8.75,9.0,2014-15
14006.0,203920,Khem,Birch,Khem Birch,PF,79.5,6' 7.5'',81.25,6' 9.25'',208.8,85.0,7' 1'',107.0,8' 11'',6.0,9.0,8.5,2014-15
14062.0,203938,Alec,Brown,Alec Brown,PF,84.25,7' 0.25'',85.25,7' 1.25'',231.2,85.5,7' 1.5'',109.0,9' 1'',7.7,9.25,8.75,2014-15
14008.0,203900,Markel,Brown,Markel Brown,SG,74.5,6' 2.5'',75.5,6' 3.5'',184.4,80.75,6' 8.75'',100.0,8' 4'',4.2,8.25,9.75,2014-15
14007.0,203913,Jabari,Brown,Jabari Brown,SG,75.0,6' 3'',76.25,6' 4.25'',201.9,80.25,6' 8.25'',100.0,8' 4'',6.05,9.0,9.25,2014-15
14009.0,203907,Deonte,Burton,Deonte Burton,PG,72.0,6' 0'',73.25,6' 1.25'',192.8,79.0,6' 7'',97.5,8' 1.5'',7.65,8.25,8.0,2014-15
14011.0,203902,Semaj,Christon,Semaj Christon,PG,73.5,6' 1.5'',75.25,6' 3.25'',186.0,78.5,6' 6.5'',99.0,8' 3'',5.25,8.5,8.25,2014-15
14012.0,203903,Jordan,Clarkson,Jordan Clarkson,PG,75.25,6' 3.25'',77.0,6' 5'',186.3,80.0,6' 8'',98.0,8' 2'',4.3,8.25,9.0,2014-15
14013.0,203905,Aaron,Craft,Aaron Craft,PG,72.75,6' 0.75'',73.75,6' 1.75'',191.6,74.0,6' 2'',94.5,7' 10.5'',6.1,7.75,8.5,2014-15
14014.0,203908,DeAndre,Daniels,DeAndre Daniels,SF,79.25,6' 7.25'',80.5,6' 8.5'',196.0,86.0,7' 2'',106.5,8' 10.5'',3.85,9.25,10.5,2014-15
14015.0,203915,Spencer,Dinwiddie,Spencer Dinwiddie,PG,76.5,6' 4.5'',78.0,6' 6'',204.9,80.25,6' 8.25'',103.0,8' 7'',5.35,8.25,9.0,2014-15
14016.0,203921,Cleanthony,Early,Cleanthony Early,SF,78.0,6' 6'',79.25,6' 7.25'',209.4,82.75,6' 10.75'',101.5,8' 5.5'',4.45,8.5,9.0,2014-15
14017.0,203929,Melvin,Ejim,Melvin Ejim,SF,77.25,6' 5.25'',79.0,6' 7'',218.5,83.25,6' 11.25'',103.5,8' 7.5'',6.45,8.75,9.25,2014-15
14019.0,203898,Tyler,Ennis,Tyler Ennis,PG,73.0,6' 1'',74.5,6' 2.5'',181.5,79.25,6' 7.25'',98.0,8' 2'',6.2,8.25,8.75,2014-15
14020.0,203957,Dante,Exum,Dante Exum,SG,76.5,6' 4.5'',78.0,6' 6'',196.3,81.5,6' 9.5'',103.0,8' 7'',6.4,8.5,9.5,2014-15
14021.0,203927,C.J.,Fair,C.J. Fair,SF,78.5,6' 6.5'',80.0,6' 8'',218.1,81.5,6' 9.5'',104.0,8' 8'',5.05,9.0,9.0,2014-15
