"tidyplayer","tidyamericanodds","prop","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","tidyou","tidyexact_shot","tidyshot_points","game"
"Kyle Lowry",1100,"first player to score","MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIA @ ATL"
"Bam Adebayo",350,"first player to score","MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIA @ ATL"
"Duncan Robinson",750,"first player to score","MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIA @ ATL"
"Haywood Highsmith",1000,"first player to score","MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIA @ ATL"
"Clint Capela",700,"first player to score","MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIA @ ATL"
"Jalen Johnson",850,"first player to score","MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIA @ ATL"
"De'Andre Hunter",800,"first player to score","MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIA @ ATL"
"Trae Young",650,"first player to score","MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIA @ ATL"
"Dejounte Murray",650,"first player to score","MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIA @ ATL"
"Jaime Jaquez Jr.",1200,"first player to score","MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIA @ ATL"
"Jarrett Allen",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"CLE @ GSW"
"Donovan Mitchell",550,"first player to score","CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"CLE @ GSW"
"Evan Mobley",800,"first player to score","CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"CLE @ GSW"
"Max Strus",1150,"first player to score","CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"CLE @ GSW"
"Darius Garland",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"CLE @ GSW"
"Kevon Looney",800,"first player to score","CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"CLE @ GSW"
"Draymond Green",1000,"first player to score","CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"CLE @ GSW"
"Stephen Curry",625,"first player to score","CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"CLE @ GSW"
"Klay Thompson",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"CLE @ GSW"
"Andrew Wiggins",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"CLE @ GSW"
"Markelle Fultz",1200,"first player to score","MIL","ORL",2023-11-11 19:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"MIL @ ORL"
"Goga Bitadze",750,"first player to score","MIL","ORL",2023-11-11 19:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"MIL @ ORL"
"Franz Wagner",1000,"first player to score","MIL","ORL",2023-11-11 19:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"MIL @ ORL"
"Jalen Suggs",1000,"first player to score","MIL","ORL",2023-11-11 19:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"MIL @ ORL"
"Paolo Banchero",700,"first player to score","MIL","ORL",2023-11-11 19:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"MIL @ ORL"
"Giannis Antetokounmpo",425,"first player to score","MIL","ORL",2023-11-11 19:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"MIL @ ORL"
"Khris Middleton",650,"first player to score","MIL","ORL",2023-11-11 19:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"MIL @ ORL"
"Brook Lopez",850,"first player to score","MIL","ORL",2023-11-11 19:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"MIL @ ORL"
"Damian Lillard",750,"first player to score","MIL","ORL",2023-11-11 19:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"MIL @ ORL"
"Malik Beasley",1100,"first player to score","MIL","ORL",2023-11-11 19:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"MIL @ ORL"
"Jrue Holiday",1200,"first player to score","TOR","BOS",2023-11-11 20:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"TOR @ BOS"
"Kristaps Porzingis",400,"first player to score","TOR","BOS",2023-11-11 20:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"TOR @ BOS"
"Jaylen Brown",700,"first player to score","TOR","BOS",2023-11-11 20:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"TOR @ BOS"
"Jayson Tatum",600,"first player to score","TOR","BOS",2023-11-11 20:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"TOR @ BOS"
"Derrick White",1200,"first player to score","TOR","BOS",2023-11-11 20:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"TOR @ BOS"
"Dennis Schroder",1100,"first player to score","TOR","BOS",2023-11-11 20:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"TOR @ BOS"
"Jakob Poeltl",850,"first player to score","TOR","BOS",2023-11-11 20:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"TOR @ BOS"
"Pascal Siakam",600,"first player to score","TOR","BOS",2023-11-11 20:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"TOR @ BOS"
"OG Anunoby",1100,"first player to score","TOR","BOS",2023-11-11 20:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"TOR @ BOS"
"Scottie Barnes",800,"first player to score","TOR","BOS",2023-11-11 20:00:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"TOR @ BOS"
"Klay Thompson",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"CLE @ GSW"
"Andrew Wiggins",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"CLE @ GSW"
"Draymond Green",1400,"first player to score","CLE","GSW",2023-11-11 21:30:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"CLE @ GSW"
"Stephen Curry",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"CLE @ GSW"
"Kevon Looney",850,"first player to score","CLE","GSW",2023-11-11 21:30:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"CLE @ GSW"
"Jarrett Allen",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"CLE @ GSW"
"Donovan Mitchell",450,"first player to score","CLE","GSW",2023-11-11 21:30:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"CLE @ GSW"
"Darius Garland",1050,"first player to score","CLE","GSW",2023-11-11 21:30:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"CLE @ GSW"
"Max Strus",1300,"first player to score","CLE","GSW",2023-11-11 21:30:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"CLE @ GSW"
"Evan Mobley",750,"first player to score","CLE","GSW",2023-11-11 21:30:00,"pointsbet","nba",2023-11-11 12:26:10,NA,NA,NA,"CLE @ GSW"
