"prop","tidyplayer","tidyamericanodds","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","tidyou","tidyexact_shot","game"
"first player to score by team","Dennis Schroder",340,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Scottie Barnes",360,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Jrue Holiday",360,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Jakob Poeltl",450,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","OG Anunoby",490,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Derrick White",700,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Bam Adebayo",155,"MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIA @ ATL"
"first player to score by team","Trae Young",240,"MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIA @ ATL"
"first player to score by team","Duncan Robinson",270,"MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIA @ ATL"
"first player to score by team","Dejounte Murray",280,"MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIA @ ATL"
"first player to score by team","De'Andre Hunter",340,"MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIA @ ATL"
"first player to score by team","Jalen Johnson",450,"MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIA @ ATL"
"first player to score by team","Clint Capela",490,"MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIA @ ATL"
"first player to score by team","Kyle Lowry",490,"MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIA @ ATL"
"first player to score by team","Haywood Highsmith",550,"MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIA @ ATL"
"first player to score by team","Jaime Jaquez Jr.",550,"MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIA @ ATL"
"first player to score by team","Giannis Antetokounmpo",125,"MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIL @ ORL"
"first player to score by team","Paolo Banchero",200,"MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIL @ ORL"
"first player to score by team","Goga Bitadze",320,"MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIL @ ORL"
"first player to score by team","Khris Middleton",320,"MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIL @ ORL"
"first player to score by team","Franz Wagner",340,"MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIL @ ORL"
