"prop","tidyplayer","tidyshot_points","tidyamericanodds","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","game"
"fpts shot points","Scottie Barnes","three_point",2200,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Dennis Schroder","three_point",2200,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Jaylen Brown","three_point",2500,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Jrue Holiday","three_point",2500,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Pascal Siakam","three_point",3000,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Jakob Poeltl","three_point",10000,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Evan Mobley","two_point",650,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Jarrett Allen","two_point",650,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Andrew Wiggins","two_point",800,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Donovan Mitchell","two_point",850,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Kevon Looney","two_point",900,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Darius Garland","two_point",1000,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Draymond Green","two_point",1100,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Stephen Curry","three_point",1100,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Stephen Curry","two_point",1300,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Klay Thompson","two_point",1300,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Klay Thompson","three_point",1400,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Max Strus","three_point",1500,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Donovan Mitchell","three_point",1600,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Darius Garland","three_point",2200,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Max Strus","two_point",2200,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Andrew Wiggins","three_point",3000,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Draymond Green","three_point",4500,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Evan Mobley","three_point",9000,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Kevon Looney","three_point",10000,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Jarrett Allen","three_point",10000,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:32,"CLE @ GSW"
"fpts shot points","Brook Lopez","two_point",950,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Brook Lopez","three_point",2000,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Giannis Antetokounmpo","two_point",550,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Giannis Antetokounmpo","three_point",8000,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Damian Lillard","two_point",1100,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Damian Lillard","three_point",1800,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Malik Beasley","two_point",2500,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Malik Beasley","three_point",1400,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
